,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
land use category,0.34,0.65,0.43,0.43,0.35,0.65,0.33,0.49,0.38,0.66
essential urban land,0.48,0.86,0.4,0.4,0.63,0.66,0.39,0.47,0.33,0.71
urban functional zone,0.51,0.63,0.35,0.29,0.62,0.27,0.37,0.38,0.31,0.43
urban land use,0.48,0.88,0.42,0.41,0.61,0.67,0.41,0.47,0.35,0.73
urban poverty,0.46,0.67,0.22,0.24,0.63,0.35,0.28,0.29,0.25,0.42
functional zone classification,0.38,0.34,0.3,0.22,0.33,0.19,0.26,0.3,0.32,0.26
urban functional area,0.56,0.69,0.41,0.3,0.67,0.35,0.35,0.42,0.32,0.52
identify urban poverty,0.46,0.62,0.25,0.29,0.6,0.35,0.26,0.35,0.31,0.42
poverty,0.24,0.4,0.14,0.19,0.34,0.29,0.19,0.22,0.22,0.27
urban functional,0.6,0.6,0.3,0.22,0.67,0.23,0.29,0.31,0.27,0.4
