,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
person detection method,0.34,0.41,0.47,0.23,0.46,0.22,0.2,0.46,0.46,0.48
freeway,0.12,0.21,0.04,0.03,-0.0,0.12,-0.04,0.04,-0.03,0.04
task scheduling algorithm,0.19,0.38,0.31,0.21,0.37,0.12,0.1,0.26,0.38,0.41
sustainable smart city,0.76,0.59,0.21,0.25,0.38,0.44,0.16,0.48,0.23,0.39
urban data management,0.69,0.71,0.4,0.22,0.42,0.53,0.15,0.55,0.43,0.5
smart city application,0.66,0.57,0.38,0.32,0.49,0.36,0.16,0.44,0.31,0.45
urban freeway corridor,0.49,0.52,0.11,0.1,0.15,0.48,0.07,0.25,0.1,0.24
anomaly detection,0.12,0.2,0.27,0.07,0.23,0.11,0.15,0.17,0.35,0.22
person detection,0.32,0.31,0.44,0.23,0.38,0.15,0.14,0.37,0.4,0.38
freeway corridor,0.22,0.27,0.06,0.06,0.07,0.18,-0.02,0.13,-0.01,0.14
