,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
land cover,0.23,0.69,0.41,0.39,0.33,0.74,0.32,0.42,0.32,0.7
land cover change,0.29,0.7,0.45,0.48,0.38,0.74,0.4,0.52,0.4,0.68
cropland,0.11,0.16,-0.03,-0.07,0.13,0.13,0.03,-0.11,-0.11,0.14
cover,0.13,0.3,0.31,0.3,0.18,0.36,0.2,0.33,0.26,0.35
land cover map,0.29,0.65,0.42,0.35,0.36,0.66,0.33,0.4,0.34,0.61
annual,0.1,0.28,0.19,0.21,0.17,0.27,0.3,0.26,0.34,0.26
impervious surface,0.2,0.21,0.18,0.15,0.21,0.16,0.07,0.15,0.21,0.18
green area,0.3,0.54,0.43,0.36,0.43,0.43,0.28,0.45,0.3,0.51
land use change,0.34,0.72,0.44,0.5,0.4,0.72,0.43,0.54,0.41,0.67
annual growth rate,0.23,0.47,0.31,0.35,0.3,0.46,0.49,0.37,0.45,0.47
