,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
crash,0.39,0.07,0.09,0.07,0.11,0.18,0.1,0.21,0.2,0.15
vehicle ownership,0.43,0.34,0.28,0.25,0.32,0.39,0.17,0.39,0.35,0.39
crime,0.27,0.32,0.18,0.14,0.18,0.22,0.05,0.33,0.32,0.24
ownership,0.18,0.24,0.18,0.16,0.23,0.39,0.16,0.27,0.22,0.18
waterlogging,0.01,-0.11,-0.11,-0.06,-0.02,-0.1,0.02,-0.18,-0.19,-0.2
opportunistic,-0.08,0.02,0.09,0.07,-0.11,-0.1,-0.05,0.04,0.01,-0.01
public transportation route,0.58,0.39,0.33,0.33,0.34,0.38,0.22,0.47,0.44,0.36
scale urban problem,0.44,0.65,0.33,0.34,0.62,0.4,0.18,0.5,0.57,0.46
real world data,0.36,0.5,0.42,0.38,0.38,0.39,0.23,0.62,0.63,0.55
game abstraction framework,0.18,0.37,0.46,0.45,0.38,0.07,0.22,0.44,0.47,0.43
