,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
road traffic noise,0.33,0.32,0.47,0.11,0.34,0.37,0.29,0.12,0.14,0.43
urban form indicator,0.59,0.41,0.66,0.34,0.58,0.47,0.36,0.23,0.2,0.65
interface network,0.31,0.44,0.56,0.39,0.24,0.45,0.33,0.51,0.15,0.37
interface network connectivity,0.28,0.38,0.53,0.38,0.21,0.39,0.27,0.44,0.11,0.38
classical urban design,0.59,0.42,0.61,0.4,0.51,0.51,0.34,0.44,0.26,0.64
housing estate,0.5,0.25,0.42,0.12,0.5,0.24,0.2,0.05,0.17,0.53
greenway suitability analysis,0.2,0.3,0.28,0.34,0.14,0.34,0.15,0.28,0.25,0.2
using network analysis,0.45,0.62,0.68,0.52,0.37,0.68,0.48,0.55,0.39,0.44
economic assessment using,0.57,0.57,0.61,0.44,0.45,0.65,0.46,0.35,0.39,0.47
assessment using machine,0.36,0.57,0.58,0.41,0.34,0.63,0.49,0.37,0.33,0.37
