,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
traffic,0.32,0.32,0.34,0.37,0.25,0.24,0.35,0.29,0.14,0.28
traffic light control,0.52,0.48,0.43,0.54,0.3,0.35,0.45,0.36,0.19,0.35
road traffic safety,0.4,0.42,0.4,0.44,0.3,0.31,0.4,0.34,0.2,0.3
traffic control,0.47,0.47,0.44,0.52,0.31,0.34,0.44,0.36,0.2,0.36
traffic control system,0.53,0.51,0.48,0.57,0.34,0.44,0.48,0.41,0.24,0.41
routing,0.13,0.07,0.12,0.11,-0.04,0.21,0.14,-0.02,-0.1,0.12
light control,0.53,0.48,0.39,0.54,0.26,0.34,0.41,0.32,0.18,0.33
traffic safety,0.36,0.37,0.4,0.39,0.27,0.32,0.37,0.33,0.18,0.3
pedestrian,0.15,0.21,0.36,0.23,0.17,0.23,0.36,0.17,0.01,0.32
congestion,0.12,0.26,0.29,0.28,0.34,0.17,0.3,0.31,0.24,0.29
