,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
land cover classification,0.44,0.37,0.54,0.29,0.54,0.42,0.35,0.2,0.12,0.61
land cover,0.46,0.26,0.47,0.16,0.63,0.31,0.35,0.1,0.08,0.65
data weighting method,0.22,0.39,0.49,0.38,0.16,0.46,0.32,0.4,0.15,0.29
urban land cover,0.69,0.32,0.64,0.24,0.79,0.37,0.36,0.13,0.15,0.84
optical,0.03,0.25,0.26,0.18,0.04,0.25,0.14,0.25,0.07,0.16
land cover mapping,0.48,0.34,0.55,0.27,0.57,0.39,0.34,0.23,0.13,0.66
cover,0.29,0.17,0.33,0.12,0.27,0.22,0.24,0.14,0.06,0.27
image classification,0.25,0.38,0.44,0.3,0.22,0.43,0.29,0.28,0.13,0.33
data weighting,0.16,0.29,0.42,0.3,0.1,0.31,0.21,0.28,0.09,0.22
eight machine learning,0.34,0.43,0.49,0.31,0.33,0.47,0.49,0.38,0.19,0.34
