,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
road traffic noise,0.32,0.39,-0.07,0.2,0.35,0.17,0.24,0.42,0.43,0.25
urban form indicator,0.34,0.45,-0.04,0.23,0.39,0.3,0.27,0.46,0.51,0.51
interface network,0.18,0.26,-0.08,0.17,0.27,0.1,0.19,0.21,0.33,0.19
interface network connectivity,0.16,0.22,-0.04,0.13,0.25,0.06,0.18,0.19,0.29,0.19
classical urban design,0.31,0.39,-0.09,0.26,0.35,0.18,0.19,0.39,0.42,0.28
housing estate,0.46,0.43,0.12,0.23,0.39,0.19,0.08,0.39,0.4,0.36
greenway suitability analysis,0.09,0.12,0.05,0.02,0.18,0.1,0.11,0.07,0.18,0.14
using network analysis,0.35,0.45,-0.08,0.31,0.43,0.23,0.2,0.33,0.56,0.34
economic assessment using,0.38,0.51,-0.01,0.3,0.44,0.37,0.13,0.36,0.6,0.57
assessment using machine,0.36,0.44,-0.1,0.33,0.41,0.22,0.19,0.33,0.56,0.35
