,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
park accessibility,0.1,0.22,0.15,0.05,0.11,0.09,0.33,-0.03,0.08,-0.01
densification,-0.05,-0.26,-0.05,-0.14,-0.08,-0.16,-0.16,0.19,0.1,-0.11
spatial pattern metric,0.2,0.23,0.26,0.17,0.13,0.39,0.26,0.24,0.39,0.08
land policy,0.15,0.36,0.1,0.27,0.15,0.22,0.31,-0.09,-0.04,0.06
mapping urban form,0.34,0.35,0.26,0.28,0.23,0.35,0.36,0.05,0.17,0.17
city block level,0.13,0.46,0.13,0.31,0.25,0.24,0.47,-0.21,-0.17,0.13
open space area,0.23,0.45,0.17,0.37,0.27,0.34,0.46,-0.12,-0.06,0.17
park accessibility change,0.1,0.33,0.19,0.15,0.16,0.2,0.4,-0.03,0.09,0.01
predict building height,0.2,0.43,0.23,0.24,0.26,0.29,0.6,-0.05,-0.0,0.09
land readjustment policy,0.12,0.22,0.1,0.19,0.06,0.12,0.27,0.01,0.06,0.08
