,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
soundscape,0.1,0.03,0.12,-0.04,0.23,0.04,0.04,-0.06,-0.08,0.07
perception,0.11,0.3,0.09,0.34,0.26,0.27,0.31,0.21,0.23,0.11
street,-0.02,0.08,-0.04,0.22,0.08,0.05,0.25,0.14,0.14,0.01
greenery,0.09,0.11,0.05,0.04,0.21,0.12,0.08,0.07,0.1,0.11
public space,0.19,0.32,0.16,0.53,0.4,0.27,0.61,0.49,0.49,0.19
street greenery,0.05,0.13,0.01,0.2,0.2,0.12,0.24,0.15,0.18,0.08
human perception,0.16,0.36,0.12,0.46,0.36,0.35,0.46,0.38,0.32,0.16
perceptual,0.05,0.19,0.09,0.01,0.11,0.14,0.11,0.01,-0.03,-0.0
pedestrian,0.09,0.11,0.07,0.18,0.24,0.05,0.18,0.15,0.14,0.1
street view image,0.11,0.25,0.08,0.42,0.24,0.21,0.42,0.35,0.37,0.12
