,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
soundscape,-0.05,-0.01,0.07,0.11,0.13,-0.12,0.11,-0.05,-0.11,-0.04
perception,0.17,0.29,0.2,0.22,0.25,0.05,0.17,0.3,0.35,0.3
street,0.41,0.24,0.1,0.07,0.21,0.35,0.05,0.22,0.26,0.19
greenery,0.08,0.14,0.03,0.09,0.12,0.1,-0.0,-0.11,-0.09,-0.1
public space,0.38,0.39,0.3,0.26,0.46,0.39,0.2,0.47,0.44,0.41
street greenery,0.37,0.27,0.09,0.12,0.24,0.33,0.04,0.1,0.14,0.08
human perception,0.25,0.39,0.27,0.26,0.3,0.11,0.22,0.45,0.49,0.41
perceptual,-0.0,0.05,0.15,0.19,0.07,-0.13,0.16,0.08,0.11,0.12
pedestrian,0.51,0.24,0.24,0.27,0.26,0.11,0.12,0.11,0.07,0.06
street view image,0.4,0.39,0.28,0.24,0.38,0.31,0.19,0.46,0.48,0.44
