,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
temperature,0.11,0.15,0.06,0.05,0.1,-0.07,0.15,0.25,0.21,0.18
thermal,0.04,0.14,-0.01,0.03,0.15,0.01,0.08,0.21,0.11,0.06
cooling,0.09,0.13,-0.01,0.02,0.07,-0.01,0.13,0.18,0.2,0.2
surface temperature,0.16,0.2,0.11,0.07,0.09,-0.03,0.21,0.34,0.28,0.25
energy,0.06,0.26,0.13,0.2,-0.18,0.02,0.37,0.33,0.42,0.26
land surface temperature,0.21,0.39,0.16,0.27,0.08,-0.04,0.32,0.46,0.38,0.29
urban heat island,0.22,0.31,0.27,0.24,-0.06,-0.1,0.39,0.59,0.39,0.25
ventilation,0.09,0.09,-0.04,0.01,0.16,0.06,0.1,0.14,0.01,0.11
thermal comfort,0.09,0.19,0.05,0.09,0.08,-0.02,0.16,0.27,0.22,0.11
comfort,0.11,0.16,0.1,0.11,-0.05,-0.04,0.19,0.2,0.26,0.11
