,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
smart city ecosystem,0.08,0.51,0.25,0.41,-0.05,0.26,0.24,0.36,0.38,0.36
innovation,0.15,0.36,0.18,0.38,-0.05,0.1,0.2,0.19,0.24,0.31
application area,0.05,0.51,0.12,0.49,-0.13,0.2,0.37,0.41,0.39,0.49
artificial intelligence technology,0.07,0.43,0.23,0.56,-0.13,0.2,0.3,0.43,0.37,0.59
smart city initiative,0.09,0.57,0.25,0.43,-0.09,0.29,0.27,0.44,0.45,0.36
sharing economy,0.16,0.38,0.15,0.52,-0.09,0.16,0.27,0.4,0.36,0.42
city ecosystem,0.08,0.44,0.12,0.36,-0.08,0.16,0.18,0.26,0.25,0.29
increasingly turning toward,0.21,0.38,0.22,0.43,-0.14,0.2,0.23,0.43,0.4,0.34
turning toward specialized,0.2,0.41,0.18,0.43,-0.15,0.21,0.27,0.41,0.4,0.37
toward specialized technology,0.15,0.49,0.18,0.55,-0.15,0.21,0.29,0.39,0.42,0.5
