,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
travel,0.1,0.16,0.1,0.24,0.13,0.18,0.3,0.33,0.3,0.08
traffic,0.18,0.24,0.16,0.32,0.25,0.19,0.34,0.46,0.42,0.16
urban human mobility,0.22,0.38,0.17,0.52,0.66,0.33,0.65,0.48,0.44,0.21
mobility,0.16,0.18,0.15,0.24,0.31,0.11,0.26,0.31,0.33,0.14
human mobility,0.2,0.31,0.17,0.42,0.41,0.27,0.44,0.45,0.4,0.19
bike,0.13,0.11,0.08,0.14,0.12,0.09,0.14,0.08,0.11,0.16
transit,0.21,0.12,0.21,0.2,0.2,0.12,0.27,0.28,0.24,0.17
transportation mode recognition,0.27,0.35,0.27,0.47,0.4,0.25,0.5,0.45,0.44,0.22
trajectory,0.14,0.21,0.15,0.09,0.12,0.17,0.15,0.08,0.05,0.09
human mobility data,0.26,0.37,0.22,0.48,0.46,0.33,0.67,0.54,0.46,0.25
