,stream water quality,carbon sequestration potential,flood,complexity science research,automata,land use change,mosquito,analog,cellular automata,urban land growth
crash,0.12,0.1,0.16,0.12,-0.09,0.22,-0.05,-0.01,0.0,0.17
vehicle ownership,0.31,0.25,0.14,0.21,-0.04,0.57,0.04,0.1,0.13,0.49
crime,0.18,0.22,0.2,0.27,-0.13,0.29,0.08,-0.02,-0.01,0.31
ownership,0.22,0.16,0.08,0.13,-0.06,0.51,0.03,0.11,0.08,0.42
waterlogging,-0.03,0.04,0.19,-0.1,0.07,-0.08,0.1,0.03,0.02,-0.06
opportunistic,-0.05,0.07,-0.0,-0.0,0.01,0.04,0.19,-0.01,0.05,-0.02
public transportation route,0.42,0.2,0.19,0.29,-0.07,0.51,0.02,0.05,0.06,0.46
scale urban problem,0.47,0.32,0.33,0.47,-0.01,0.59,0.11,0.1,0.11,0.7
real world data,0.45,0.31,0.21,0.49,-0.1,0.56,0.01,0.21,0.1,0.51
game abstraction framework,0.33,0.22,0.06,0.38,0.12,0.39,-0.03,0.21,0.18,0.28
