,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
smart urban environment,0.49,0.7,0.66,0.68,0.64,0.37,0.67,0.64,0.35,0.69
urban design problem,0.52,0.68,0.67,0.7,0.63,0.43,0.74,0.67,0.37,0.73
let spatial agent,0.42,0.32,0.31,0.39,0.13,0.35,0.31,0.26,0.07,0.27
game,0.28,0.2,0.23,0.25,0.11,0.22,0.2,0.13,0.08,0.13
interactive machine learning,0.33,0.28,0.34,0.32,0.19,0.32,0.36,0.26,0.12,0.35
urban aesthetic,0.36,0.64,0.66,0.59,0.63,0.36,0.71,0.6,0.31,0.76
aesthetic,0.15,0.24,0.31,0.17,0.14,0.25,0.33,0.17,0.04,0.41
present study aim,0.49,0.52,0.45,0.53,0.45,0.38,0.51,0.58,0.41,0.46
typical spatial behaviour,0.3,0.27,0.37,0.3,0.21,0.43,0.41,0.29,0.13,0.44
structured simple space,0.5,0.45,0.49,0.48,0.28,0.46,0.5,0.34,0.16,0.53
