,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
landscape pattern,0.2,-0.07,0.52,0.35,0.51,0.25,0.33,0.36,0.37,0.31
land cover pattern,0.23,-0.21,0.44,0.68,0.52,0.43,0.54,0.4,0.44,0.54
urban greenness space,0.32,-0.06,0.32,0.35,0.64,0.35,0.61,0.37,0.33,0.34
landscape,0.29,-0.1,0.21,0.33,0.44,0.2,0.33,0.37,0.27,0.29
various land cover,0.29,-0.27,0.22,0.7,0.48,0.49,0.58,0.42,0.39,0.53
dust,-0.01,0.02,0.16,0.13,0.2,0.22,0.24,0.06,0.23,0.11
sediment yield,0.02,0.14,0.36,0.21,0.25,0.18,0.15,0.11,0.25,0.23
urban greenness,0.23,0.1,0.18,0.21,0.54,0.18,0.19,0.24,0.14,0.27
sediment,0.05,0.17,0.26,0.06,0.21,0.07,0.08,0.09,0.08,0.09
watershed soil erosion,0.19,0.04,0.21,0.36,0.4,0.24,0.31,0.3,0.27,0.29
