,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
binary urban footprint,0.03,0.42,0.06,0.36,-0.04,0.06,0.26,0.16,0.22,0.35
urban land expansion,-0.01,0.67,0.05,0.39,-0.21,0.18,0.24,0.32,0.32,0.3
building height,0.05,0.38,0.18,0.29,-0.14,0.17,0.17,0.39,0.37,0.23
driving force,0.14,0.34,0.18,0.33,-0.1,0.26,0.26,0.45,0.41,0.28
urban footprint,-0.02,0.57,0.06,0.31,-0.11,0.05,0.16,0.14,0.18,0.27
land price,0.01,0.44,0.05,0.33,-0.16,0.22,0.29,0.37,0.36,0.29
expansion,-0.01,0.38,0.03,0.29,-0.2,0.21,0.22,0.31,0.23,0.27
main driving force,0.13,0.4,0.22,0.39,-0.11,0.29,0.3,0.53,0.47,0.32
body mass index,0.17,0.34,0.13,0.43,-0.13,0.14,0.24,0.37,0.31,0.43
residential land price,0.04,0.55,0.04,0.35,-0.14,0.18,0.24,0.35,0.36,0.29
