,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
urban planning reform,1.0,0.48,0.71,0.33,0.75,0.55,0.45,0.2,0.29,0.71
expert system,0.48,1.0,0.74,0.6,0.37,0.92,0.44,0.28,0.75,0.39
urban information system,0.71,0.74,1.0,0.52,0.63,0.73,0.49,0.34,0.35,0.69
heterogeneous expert knowledge,0.33,0.6,0.52,1.0,0.22,0.58,0.38,0.38,0.62,0.37
democratic urban land,0.75,0.37,0.63,0.22,1.0,0.43,0.39,0.11,0.16,0.81
expert system approach,0.55,0.92,0.73,0.58,0.43,1.0,0.55,0.36,0.66,0.46
intelligent decision making,0.45,0.44,0.49,0.38,0.39,0.55,1.0,0.31,0.25,0.43
mathematical programming,0.2,0.28,0.34,0.38,0.11,0.36,0.31,1.0,0.14,0.24
expert,0.29,0.75,0.35,0.62,0.16,0.66,0.25,0.14,1.0,0.17
urban land dynamic,0.71,0.39,0.69,0.37,0.81,0.46,0.43,0.24,0.17,1.0
