,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
positive deviance,0.03,-0.01,0.05,0.14,-0.02,0.01,-0.01,0.13,0.17,0.04
urban planning firm,0.42,0.67,0.38,0.34,0.57,0.44,0.38,0.4,0.34,0.55
personality,0.06,0.05,0.18,0.18,0.06,0.05,0.03,0.22,0.13,0.04
social media data,0.36,0.39,0.29,0.33,0.31,0.33,0.29,0.39,0.43,0.35
tweet,-0.04,-0.21,-0.14,-0.1,-0.11,-0.16,-0.2,-0.11,-0.13,-0.14
player,0.06,0.18,0.17,0.26,0.05,0.22,0.21,0.29,0.14,0.18
input excerpt must,0.26,0.24,0.17,0.26,0.16,0.29,0.22,0.3,0.24,0.24
six possible personality,0.16,0.32,0.39,0.45,0.14,0.37,0.31,0.53,0.37,0.35
possible personality class,0.22,0.32,0.37,0.41,0.18,0.36,0.23,0.47,0.31,0.36
media data analysis,0.35,0.3,0.23,0.28,0.27,0.29,0.27,0.32,0.43,0.29
