,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
binary urban footprint,0.36,0.29,0.28,0.33,0.55,0.19,0.51,0.27,0.23,0.37
urban land expansion,0.21,0.38,0.19,0.55,0.58,0.32,0.61,0.37,0.37,0.2
building height,0.18,0.22,0.1,0.54,0.18,0.17,0.32,0.32,0.32,0.22
driving force,0.2,0.25,0.17,0.43,0.18,0.19,0.27,0.49,0.5,0.2
urban footprint,0.36,0.38,0.27,0.39,0.64,0.3,0.56,0.33,0.31,0.39
land price,0.23,0.33,0.18,0.43,0.23,0.26,0.36,0.4,0.41,0.22
expansion,0.2,0.29,0.21,0.44,0.25,0.23,0.35,0.25,0.22,0.15
main driving force,0.21,0.28,0.17,0.52,0.22,0.23,0.35,0.5,0.5,0.2
body mass index,0.25,0.2,0.19,0.34,0.22,0.21,0.41,0.36,0.32,0.27
residential land price,0.24,0.29,0.2,0.49,0.35,0.22,0.44,0.41,0.41,0.24
