,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
temperature,0.16,0.08,0.13,0.21,-0.04,0.06,0.22,0.23,0.2,0.24
thermal,0.04,0.04,0.09,0.13,-0.14,-0.03,0.12,0.13,0.14,0.2
cooling,0.14,0.1,0.03,0.15,0.0,-0.02,0.24,0.16,0.1,0.19
surface temperature,0.18,0.15,0.16,0.24,-0.06,0.12,0.22,0.31,0.3,0.3
energy,0.1,0.39,0.14,0.38,-0.08,0.13,0.27,0.3,0.26,0.38
land surface temperature,0.13,0.3,0.13,0.3,-0.11,0.15,0.26,0.36,0.35,0.32
urban heat island,0.02,0.54,0.13,0.36,-0.18,0.2,0.18,0.34,0.33,0.3
ventilation,0.1,0.03,0.02,0.05,-0.02,-0.01,0.12,0.04,0.02,0.07
thermal comfort,0.07,0.12,0.15,0.21,-0.14,-0.01,0.19,0.22,0.26,0.24
comfort,0.08,0.17,0.16,0.2,-0.07,0.03,0.19,0.24,0.3,0.18
