,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
positive deviance,0.12,0.11,0.19,0.06,0.11,0.16,0.23,0.23,0.32,0.1
urban planning firm,0.67,0.72,0.32,0.21,0.33,0.56,0.17,0.56,0.27,0.42
personality,0.27,0.24,0.29,0.21,0.25,0.27,0.33,0.23,0.39,0.25
social media data,0.5,0.5,0.41,0.26,0.5,0.34,0.18,0.58,0.44,0.45
tweet,-0.1,-0.16,-0.04,-0.05,-0.01,-0.05,0.05,-0.11,-0.02,-0.0
player,0.22,0.22,0.36,0.62,0.25,0.05,-0.01,0.2,0.18,0.2
input excerpt must,0.27,0.32,0.41,0.23,0.36,0.18,0.16,0.43,0.33,0.4
six possible personality,0.36,0.42,0.44,0.45,0.37,0.23,0.2,0.57,0.39,0.44
possible personality class,0.44,0.5,0.44,0.33,0.39,0.33,0.27,0.54,0.46,0.48
media data analysis,0.4,0.45,0.43,0.27,0.49,0.23,0.12,0.55,0.42,0.47
