,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
crash,1.0,0.29,0.17,0.09,-0.08,-0.12,0.27,0.17,0.31,0.04
vehicle ownership,0.29,1.0,0.21,0.76,-0.1,-0.06,0.41,0.38,0.37,0.23
crime,0.17,0.21,1.0,0.14,-0.07,0.13,0.25,0.43,0.33,0.17
ownership,0.09,0.76,0.14,1.0,-0.06,-0.04,0.28,0.28,0.29,0.22
waterlogging,-0.08,-0.1,-0.07,-0.06,1.0,0.08,-0.21,0.02,-0.23,-0.12
opportunistic,-0.12,-0.06,0.13,-0.04,0.08,1.0,-0.07,-0.01,0.0,0.11
public transportation route,0.27,0.41,0.25,0.28,-0.21,-0.07,1.0,0.41,0.41,0.16
scale urban problem,0.17,0.38,0.43,0.28,0.02,-0.01,0.41,1.0,0.49,0.37
real world data,0.31,0.37,0.33,0.29,-0.23,0.0,0.41,0.49,1.0,0.44
game abstraction framework,0.04,0.23,0.17,0.22,-0.12,0.11,0.16,0.37,0.44,1.0
