,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
land use category,0.39,0.32,0.48,0.24,0.39,0.24,0.21,0.49,0.11,0.46
essential urban land,0.33,0.32,0.69,0.29,0.44,0.18,0.33,0.48,0.09,0.45
urban functional zone,0.25,0.34,0.64,0.34,0.4,0.16,0.24,0.44,0.13,0.43
urban land use,0.34,0.37,0.66,0.27,0.41,0.24,0.35,0.47,0.09,0.45
urban poverty,0.17,0.25,0.67,0.26,0.37,0.1,0.21,0.3,0.09,0.37
functional zone classification,0.2,0.24,0.39,0.29,0.33,0.16,0.15,0.41,0.16,0.41
urban functional area,0.23,0.35,0.67,0.34,0.41,0.2,0.29,0.46,0.11,0.45
identify urban poverty,0.22,0.29,0.67,0.25,0.42,0.09,0.22,0.37,0.1,0.45
poverty,0.11,0.14,0.46,0.19,0.33,-0.01,0.08,0.18,0.09,0.32
urban functional,0.15,0.28,0.7,0.39,0.44,0.16,0.22,0.44,0.13,0.46
