,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
soundscape,-0.11,-0.13,-0.14,-0.1,0.05,0.04,-0.19,-0.04,-0.1,0.08
perception,0.06,0.17,0.23,0.15,0.08,0.13,0.16,0.34,0.33,0.3
street,0.16,0.19,0.24,0.11,-0.13,0.03,0.39,0.21,0.31,0.07
greenery,-0.1,-0.09,-0.06,-0.08,0.21,0.06,0.02,0.08,-0.04,0.05
public space,0.22,0.41,0.27,0.3,-0.16,-0.01,0.61,0.5,0.56,0.28
street greenery,0.06,0.08,0.15,0.03,0.04,0.06,0.31,0.22,0.21,0.08
human perception,0.15,0.21,0.35,0.16,-0.07,0.15,0.27,0.43,0.49,0.35
perceptual,-0.03,-0.04,-0.04,-0.05,0.15,0.06,-0.12,0.06,0.09,0.23
pedestrian,0.15,0.2,0.12,-0.01,0.05,0.01,0.34,0.19,0.08,0.1
street view image,0.18,0.32,0.32,0.22,-0.14,0.06,0.42,0.39,0.52,0.3
