,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
person detection method,0.39,0.27,0.65,0.26,0.39,0.4,0.25,0.44,0.41,0.48
freeway,0.1,0.14,-0.02,0.21,0.06,0.16,0.07,0.02,-0.04,0.01
task scheduling algorithm,0.25,0.09,0.48,0.11,0.16,0.25,0.08,0.33,0.32,0.33
sustainable smart city,0.31,0.36,0.22,0.51,0.15,0.35,0.21,0.21,0.14,0.37
urban data management,0.48,0.41,0.56,0.61,0.23,0.51,0.26,0.4,0.54,0.39
smart city application,0.38,0.4,0.32,0.48,0.23,0.4,0.3,0.28,0.24,0.48
urban freeway corridor,0.27,0.32,0.09,0.55,0.1,0.35,0.17,0.08,0.07,0.14
anomaly detection,0.17,0.07,0.38,0.06,0.44,0.22,0.08,0.26,0.3,0.16
person detection,0.34,0.27,0.44,0.24,0.34,0.36,0.25,0.36,0.33,0.43
freeway corridor,0.15,0.22,0.03,0.3,0.09,0.24,0.11,-0.0,0.02,0.07
