,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
carbon emission,0.22,0.16,0.32,0.18,0.32,0.21,0.12,0.21,0.27,0.12
climate change mitigation,0.41,0.31,0.3,0.37,0.1,0.39,0.24,0.33,0.25,0.16
emission,0.21,0.13,0.25,0.14,0.32,0.19,0.1,0.23,0.21,0.08
built environment factor,0.42,0.39,0.36,0.48,0.14,0.39,0.24,0.34,0.28,0.46
heterogeneous urban environment,0.38,0.3,0.31,0.57,0.12,0.38,0.17,0.32,0.28,0.24
climate,0.39,0.24,0.21,0.3,0.07,0.31,0.17,0.33,0.18,0.14
urban data science,0.45,0.38,0.52,0.59,0.3,0.5,0.27,0.38,0.5,0.42
air quality monitoring,0.36,0.37,0.39,0.4,0.26,0.42,0.29,0.29,0.33,0.38
air quality,0.37,0.39,0.29,0.42,0.21,0.38,0.33,0.31,0.23,0.36
carbon,0.18,0.16,0.33,0.19,0.26,0.19,0.11,0.16,0.27,0.15
