,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
road traffic noise,0.14,0.18,0.32,-0.04,0.22,0.17,0.31,0.17,0.27,0.25
urban form indicator,0.26,0.37,0.4,0.05,0.2,0.28,0.63,0.27,0.35,0.46
interface network,0.31,0.28,0.35,0.13,0.21,0.12,0.49,0.28,0.3,0.34
interface network connectivity,0.29,0.25,0.33,0.16,0.17,0.14,0.51,0.25,0.28,0.38
classical urban design,0.37,0.32,0.39,0.04,0.21,0.23,0.55,0.3,0.31,0.39
housing estate,0.11,0.4,0.34,-0.09,0.24,0.28,0.33,0.28,0.44,0.17
greenway suitability analysis,0.29,0.12,0.17,0.22,-0.03,0.1,0.33,0.12,0.14,0.22
using network analysis,0.45,0.34,0.48,0.11,0.24,0.09,0.55,0.34,0.46,0.41
economic assessment using,0.4,0.29,0.4,-0.0,0.14,0.08,0.47,0.24,0.5,0.47
assessment using machine,0.36,0.32,0.47,0.05,0.26,0.02,0.41,0.35,0.4,0.38
