,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
signal,0.17,0.28,0.35,0.1,0.15,0.33,0.3,0.22,0.08,0.19
positioning,0.15,0.32,0.33,0.19,0.11,0.35,0.23,0.15,0.08,0.21
positioning accuracy,0.14,0.34,0.35,0.29,0.11,0.4,0.28,0.24,0.16,0.22
multipath,-0.15,-0.09,-0.07,-0.06,-0.16,-0.1,-0.14,0.06,-0.11,-0.04
path loss,0.29,0.25,0.33,0.12,0.33,0.36,0.38,0.12,0.09,0.32
localization,0.07,0.1,0.11,0.21,-0.04,0.11,0.04,0.19,0.04,0.1
positioning performance,0.26,0.41,0.44,0.27,0.19,0.47,0.42,0.23,0.14,0.32
receiver,-0.0,0.16,0.15,0.08,0.03,0.15,0.11,0.02,0.07,0.12
reception,0.16,0.09,0.16,0.07,0.13,0.14,0.14,0.09,0.0,0.09
fingerprint,-0.03,0.24,0.19,0.23,-0.1,0.21,0.1,0.03,0.2,-0.0
