,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
urban planning reform,0.06,0.01,0.11,0.1,0.34,0.27,0.52,0.07,0.08,0.13
expert system,0.18,0.17,0.25,0.23,0.32,0.29,0.34,0.23,0.21,0.15
urban information system,0.22,0.19,0.23,0.3,0.38,0.42,0.57,0.22,0.28,0.25
heterogeneous expert knowledge,0.12,0.07,0.09,0.18,0.25,0.21,0.2,0.08,0.13,0.15
democratic urban land,0.07,0.06,0.07,0.17,0.27,0.45,0.61,-0.03,0.12,0.15
expert system approach,0.2,0.16,0.24,0.27,0.35,0.34,0.37,0.21,0.23,0.2
intelligent decision making,0.13,0.03,0.13,0.18,0.29,0.28,0.29,0.05,0.14,0.21
mathematical programming,0.09,0.08,0.08,0.13,0.19,0.11,0.11,0.05,0.09,0.06
expert,0.01,0.0,0.03,0.03,0.23,0.06,0.15,0.03,0.05,0.09
urban land dynamic,0.2,0.19,0.18,0.3,0.33,0.56,0.63,0.08,0.24,0.19
