,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
land use category,0.2,0.12,0.16,0.29,0.3,0.55,0.48,0.05,0.19,0.19
essential urban land,0.17,0.14,0.14,0.26,0.34,0.54,0.63,0.07,0.23,0.23
urban functional zone,0.26,0.25,0.23,0.35,0.24,0.43,0.57,0.13,0.35,0.29
urban land use,0.17,0.16,0.16,0.29,0.31,0.58,0.65,0.1,0.23,0.2
urban poverty,0.12,0.08,0.05,0.15,0.23,0.29,0.57,0.06,0.17,0.2
functional zone classification,0.33,0.29,0.23,0.4,0.18,0.41,0.35,0.16,0.33,0.23
urban functional area,0.24,0.25,0.21,0.35,0.25,0.47,0.6,0.16,0.31,0.23
identify urban poverty,0.14,0.11,0.05,0.2,0.26,0.32,0.55,0.08,0.2,0.22
poverty,0.1,0.04,0.01,0.1,0.19,0.2,0.34,0.04,0.13,0.17
urban functional,0.21,0.25,0.2,0.3,0.25,0.36,0.53,0.15,0.31,0.23
