,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
aerial,0.27,0.22,0.01,0.21,0.32,0.1,0.19,0.16,0.26,0.06
point cloud,0.38,0.43,-0.1,0.35,0.41,0.2,0.22,0.41,0.41,0.35
detection,0.12,0.16,-0.02,0.14,0.15,0.01,0.25,0.1,0.23,0.15
deep,0.33,0.36,-0.0,0.28,0.32,0.09,0.27,0.36,0.32,0.17
cloud,0.26,0.26,-0.05,0.32,0.27,0.08,0.18,0.27,0.19,0.14
object,0.23,0.3,-0.11,0.19,0.31,0.07,0.29,0.2,0.34,0.14
building detection,0.31,0.36,-0.04,0.24,0.33,0.1,0.23,0.34,0.44,0.26
segmentation,-0.12,-0.1,0.07,-0.08,-0.05,-0.08,0.01,-0.11,-0.06,-0.06
semantic segmentation,-0.08,-0.03,0.06,-0.05,0.0,-0.08,0.09,-0.08,0.02,-0.07
airborne,0.13,0.12,-0.07,0.12,0.13,0.01,0.21,0.15,0.13,0.04
