,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
land use category,0.72,0.73,0.09,0.41,0.67,0.29,0.2,0.47,0.83,0.38
essential urban land,0.7,0.72,0.16,0.33,0.67,0.22,0.25,0.54,0.74,0.4
urban functional zone,0.38,0.43,0.04,0.27,0.42,0.16,0.3,0.55,0.43,0.34
urban land use,0.76,0.77,0.15,0.38,0.71,0.25,0.26,0.59,0.87,0.4
urban poverty,0.37,0.43,0.06,0.2,0.37,0.22,0.17,0.34,0.42,0.42
functional zone classification,0.25,0.32,0.0,0.21,0.34,0.17,0.27,0.41,0.35,0.27
urban functional area,0.45,0.5,0.07,0.29,0.49,0.19,0.3,0.64,0.52,0.34
identify urban poverty,0.4,0.49,0.03,0.26,0.43,0.2,0.2,0.37,0.51,0.41
poverty,0.26,0.33,0.05,0.14,0.28,0.2,0.09,0.16,0.33,0.39
urban functional,0.29,0.37,0.03,0.19,0.34,0.11,0.29,0.41,0.41,0.27
