group,score,key-phrase
0,0.6123235,automobile choice
0,0.6073863,household automobile choice
0,0.5946789,vehicle choice problem
0,0.5663413,household vehicle choice
0,0.5411974,vehicle choice
0,0.5299392,vehicle ownership
0,0.45434314,vehicle
0,0.43371436,car
0,0.4040745,vehicle selection algorithm
1,0.5429704,data mining technique
1,0.5266805,deep learning car
1,0.500584,learning car detection
1,0.49766654,LSTM model
1,0.49365884,machine learning method
1,0.49364573,Deep Model
1,0.46957532,machine learning
1,0.46572852,CNN model
1,0.46243536,deep learning model
1,0.4569701,data mining
1,0.45529988,autoencoders
1,0.44381264,prediction methodology
1,0.44154754,deep learning method
1,0.43839937,different prediction methodology
1,0.43749726,deep learning
1,0.43156636,deep sequence
1,0.4309864,vanilla LSTM model
1,0.43010584,predictive accuracy
1,0.42623734,LSTM network
1,0.4170558,deep reinforcement
1,0.36504817,online machine learning
2,0.629047,taxi demand
2,0.6143397,exploratory taxi fleet
2,0.5875573,city taxi service
2,0.56993186,exploratory taxi
2,0.5530397,city taxi
2,0.530524,electric taxi
2,0.52001333,traditional taxi
2,0.513573,taxi
2,0.4167662,taxi fleet
2,0.38658512,taxicab
3,0.7502187,crowd density estimation
3,0.66878307,crowd density
3,0.5475124,crowd surveillance
3,0.4911135,crowd analysis
3,0.47235322,crowd analysis benchmark
3,0.44616097,density estimation
3,0.43816727,citywide crowd
3,0.43633902,crowd
4,0.55678606,urban freight transportation
4,0.5352675,urban logistics system
4,0.50124645,freight transportation system
4,0.4660017,city operation system
4,0.46413323,city operation
4,0.46312615,urban planning
4,0.45852637,urban freight
4,0.45471996,friendly urban freight
5,0.6385906,bus route planning
5,0.6167366,state transportation planning
5,0.601876,transportation planning
5,0.57983005,bus dynamic routing
5,0.5595882,transportation route planning
5,0.5277311,bus route
5,0.52572465,public transportation route
5,0.5166706,dynamic route planning
5,0.4826851,route planning
6,0.6908045,traffic volume prediction
6,0.64307237,traffic volume estimation
6,0.64219,traffic flow forecasting
6,0.6375522,traffic prediction
6,0.62848216,traffic accident prediction
6,0.61967444,citywide Traffic Volume
6,0.6128716,destination prediction
6,0.60491955,traffic flow prediction
6,0.6008193,road traffic prediction
6,0.5979621,road traffic image
6,0.58852243,travel demand prediction
6,0.58606434,traffic sensor data
6,0.58296156,large urban police
6,0.5823184,traffic simulation
6,0.58022934,traffic forecast feature
6,0.5790382,traffic monitoring
6,0.5761839,next destination prediction
6,0.57077104,urban emergency police
6,0.56927484,traffic simulation technology
6,0.5668579,traffic forecast
6,0.56256664,citywide traffic
6,0.55639106,traffic profiling
6,0.5562948,traffic congestion detection
6,0.5461982,Traffic Volume
6,0.5457288,traffic image
6,0.5438565,accident prediction
6,0.5431589,urban police
6,0.5427959,traffic forecasting
6,0.53718907,urban road traffic
6,0.52233195,time traffic forecast
6,0.5183035,next destination predictor
6,0.50924534,traffic monitoring device
6,0.50661284,urban police jurisdiction
6,0.4976689,intelligent traffic management
6,0.4963655,destination predictor
6,0.49602717,urban traffic flow
6,0.4872684,flow forecasting
6,0.48691937,travel demand model
6,0.48471767,urban traffic
6,0.47457862,road traffic management
6,0.4655406,emergency police operation
6,0.4551935,adaptive traffic control
6,0.4515236,urban safety
6,0.44724956,traffic management system
6,0.43928522,traffic speed
6,0.43582278,crosstown traffic
6,0.4304785,highway traffic volume
6,0.4198748,urban traffic management
6,0.41773883,traffic management
6,0.4045917,flow prediction
6,0.36798984,traffic flow
7,0.6160252,transportation mode recognition
7,0.6005914,transportation data management
7,0.58763987,transportation data
7,0.5764146,transportation network data
7,0.53169084,bus trajectory data
7,0.51335377,human mobility dataset
7,0.51081157,mobility data
7,0.5018699,urban prediction
7,0.47317782,urban prediction problem
7,0.45808482,transportation mode information
7,0.44593275,mobility dataset
7,0.4387739,household travel survey
7,0.4264317,urban data collection
7,0.42273715,travel survey data
7,0.40063167,urban data
-1,0.62174284,transportation impact
-1,0.61755633,transportation infrastructure development
-1,0.6000985,transportation efficiency
-1,0.5907843,urban computing
-1,0.5703285,smart mobility
-1,0.5485797,urban area smart
-1,0.53738636,big geodata analysis
-1,0.5296463,urban event cause
-1,0.52894604,smart city
-1,0.5168319,trajectory clustering
-1,0.5146709,extreme learning machine
-1,0.49776694,passenger service market
-1,0.48880276,unsupervised incremental learning
-1,0.48715058,trajectory dataset
-1,0.47870854,big geodata
-1,0.47396368,mobile crowdsensing
-1,0.47226945,citywide traffic accident
-1,0.4554928,transportation congestion
-1,0.45299703,image descriptor
-1,0.4509551,urban event
-1,0.4509474,genetic algorithm
-1,0.4405232,compressed sensing
-1,0.42747855,event data
-1,0.42590928,event impact
-1,0.42119855,enhanced urban clustering
-1,0.4159999,spatial temporal coverage
-1,0.41423982,urban clustering
-1,0.40329647,biased data
-1,0.40084225,heterogeneous datasets
-1,0.3988372,intelligent transportation system
-1,0.36874035,principal component analysis
-1,0.3604707,clustering protocol
-1,0.34467092,available clustering protocol
-1,0.3438697,image processing
