cluster,min_samples,min_cluster_size,epsilon,total_groups,outlier_count,outlier_key_phrase,group_0_count,group_0_key_phrase,group_1_count,group_1_key_phrase,group_2_count,group_2_key_phrase,group_3_count,group_3_key_phrase
#8,None,5,0.0,3,18,"proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, property vacancy, computational linguistics, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, international development, unstructured community, novel computational linguistics, Positive deviance, positive deviance face, social network message, development impact, online educational game",45.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, Social medium data, Predictive analytics, AI data collection, urban planner, unstructured community input, participatory urban planning, big data, data mining technique, planning education, urban waterlogging, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, subjective data, collaborative city planning, Computational social medium, interactive data, data collection, collaborative city, machine learning, data science technique, natural language, sustainable urban planning, big data mining, urban green space, classifier, data science, data, city service dimension, city structure, urban data, urban dynamic, unstructured data, medium big data, data analysis",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",,,,
#8,None,6,0.0,3,20,"Predictive analytics, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, property vacancy, Smart City dimension, computational linguistics, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, international development, unstructured community, novel computational linguistics, Positive deviance, positive deviance face, social network message, development impact, online educational game",43.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, Social medium data, AI data collection, urban planner, unstructured community input, participatory urban planning, big data, data mining technique, planning education, urban waterlogging, urban environment, natural language processing, AI data, urban flood, data mining, subjective data, collaborative city planning, Computational social medium, interactive data, data collection, collaborative city, machine learning, data science technique, natural language, sustainable urban planning, big data mining, urban green space, classifier, data science, data, city service dimension, city structure, urban data, urban dynamic, unstructured data, medium big data, data analysis",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",,,,
#8,None,7,0.0,3,25,"Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, planning education, urban waterlogging, property vacancy, Smart City dimension, computational linguistics, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, international development, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, social network message, development impact, online educational game, medium big data",38.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, Social medium data, AI data collection, urban planner, participatory urban planning, big data, data mining technique, urban environment, natural language processing, AI data, urban flood, data mining, subjective data, collaborative city planning, Computational social medium, interactive data, data collection, collaborative city, machine learning, data science technique, natural language, sustainable urban planning, big data mining, urban green space, data science, data, city service dimension, city structure, urban data, urban dynamic, unstructured data, data analysis",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",,,,
#8,None,8,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,9,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,10,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,11,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,12,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,13,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,14,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
