Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
0,root_-1,-1,102,"['traffic volume prediction', 'traffic speed prediction', 'traffic prediction', 'traffic flow prediction', 'traffic accident prediction', 'road traffic prediction', 'trip generation prediction', 'traffic volume', 'traffic forecasting', 'traffic forecast feature', 'traffic flow forecasting', 'telecom data', 'spatiotemporal data', 'sensor data fusion', 'sensor data', 'semantic database', 'real sensor data', 'phone datasets', 'phone dataset', 'phone data', 'massive spatiotemporal data', 'IoT data', 'destination prediction', 'demand prediction', 'crowd flow prediction', 'barometric data', 'WiFi positioning', 'validation framework', 'Traffic volume estimation', 'traditional clustering algorithm', 'topic modeling', 'topic identification', 'topic hierarchy', 'sustainable urban transportation', 'sustainable urban system', 'sustainable urban planning', 'sustainable city', 'sustainability scope', 'stack resnet', 'spatiotemporal pattern mining', 'spatiotemporal granularity', 'spatiotemporal dynamism', 'sociotechnical system', 'smartphones locational request', 'smartphone global positioning', 'smartification', 'smart urban governance', 'smart meter', 'smart home', 'smart community', 'smart city planning', 'smart city', 'similarity measure', 'similarity index', 'semantic topic model', 'Semantic framework', 'relatedness', 'probabilistic topic model', 'probabilistic topic', 'predict hazard', 'pollution detection', 'phone usage pattern', 'phone record', 'ontological framework', 'new similarity measure', 'mobile phone trajectory', 'mobile phone positioning', 'mobile phone activity', 'mobile network', 'Mind', 'MetaStore', 'Location tracking', 'location trace', 'latent semantic relationship', 'latent Dirichlet allocation', 'IoT sensor', 'intelligent city', 'intelligent', 'intelligence analyst work', 'Hyperledger Fabric blockchain', 'human behavioral pattern', 'graph attention network', 'governance intelligence framework', 'game abstraction', 'distinctive activity pattern', 'design pattern', 'cryptography', 'conjunction', 'clustering process', 'clustering algorithm', 'cluster analysis', 'cluster', 'city smarter', 'Call Detail', 'Blockchain intervenes', 'blockchain', 'available clustering protocol', 'ambient intelligence', 'air quality monitoring', 'air quality evaluator', 'aggregated human behavior', 'accelerometer']",90,"[3, 4, 13, 30, 38, 63, 69, 84, 97, 117, 124, 138, 139, 155, 184, 194, 200, 209, 210, 211, 220, 235, 240, 243, 244, 249, 257, 258, 272, 273, 291, 295, 300, 304, 307, 309, 311, 319, 321, 324, 334, 337, 343, 345, 346, 358, 359, 373, 375, 384, 387, 388, 392, 394, 410, 412, 417, 422, 425, 432, 433, 434, 438, 451, 459, 466, 467, 491, 499, 502, 503, 511, 516, 519, 522, 526, 527, 536, 537, 542, 543, 550, 555, 560, 561, 562, 571, 573, 574, 584]",0.9698,80,45,24
0,root_-1,0,64,"['urban traffic management', 'urban traffic gravity', 'urban traffic flow', 'vehicular traffic modelling', 'Urban traffic', 'urban driving', 'truck traffic', 'transportation route planning', 'traffic violation', 'traffic system', 'traffic simulation', 'traffic path', 'traffic management', 'traffic light status', 'traffic light', 'traffic congestion', 'traffic', 'state transportation planning', 'smarter transportation system', 'smart city transportation', 'road traffic management', 'massive traffic sensor', 'lighter traffic', 'interactive traffic control', 'intelligent transportation system', 'intelligent transportation', 'intelligent traffic scheduling', 'depict traffic', 'Crosstown traffic', 'Automated urban travel', 'vehicle selection problem', 'taxis', 'taxi demand', 'taxi', 'street sign', 'smart mobility', 'route recommendation', 'roundabout', 'road network', 'path', 'parking availability information', 'parking', 'navigation system', 'navigate intersection', 'motion planning', 'light control system', 'light assignment scenario', 'intersection agent', 'intelligent taxi', 'Intelligent driver assist', 'highway', 'graffiti', 'electric taxi', 'effective digital planning', 'dynamic route', 'driver car', 'deep learning car', 'bus route planning', 'brain', 'Beijing taxis', 'Autonomous Vehicle', 'autonomous driving', 'automatic object', 'automated vehicle']",52,"[38, 55, 83, 110, 125, 127, 134, 138, 145, 146, 155, 209, 220, 233, 240, 257, 261, 298, 300, 304, 307, 309, 311, 319, 346, 356, 363, 370, 382, 384, 394, 407, 410, 422, 423, 432, 433, 439, 450, 451, 459, 461, 468, 499, 510, 516, 519, 522, 526, 530, 545, 587]",0.9698,80,45,24
0,root_-1,1,24,"['speed model', 'safe RL algorithm', 'QA algorithm', 'model stacking', 'local knowledge', 'knowledge discovery', 'Kadaster knowledge', 'GBDT model', 'algorithm', 'summarization', 'SMDA method', 'semantic decomposition', 'scene decomposition', 'reasoning layer', 'pattern discovery', 'overview', 'math programming', 'intelligence identification layer', 'input representation', 'individual vehicle speed', 'hierarchical clustering', 'fuzzy reasoning', 'data mining', 'clustering']",22,"[22, 84, 110, 117, 127, 209, 257, 264, 324, 336, 356, 395, 422, 433, 450, 485, 504, 510, 530, 560, 561, 571]",0.9698,80,45,24
0,root_0,-1,121,"['urban planning data', 'urban data set', 'urban data science', 'urban data exploration', 'urban data analysis', 'urban data', 'open urban data', 'model urban data', 'massive urban data', 'intelligent urban data', 'heterogeneous urban datasets', 'heterogeneous urban data', 'different urban data', 'crucial urban data', 'Yelp hierarchical dataset', 'urbanization', 'urban study', 'urban space', 'urban safety control', 'urban network analysis', 'urban morphology', 'urban mobility structure', 'urban mobility scenario', 'urban informal economy', 'urban human activity', 'urban heat monitoring', 'urban ground sensing', 'urban green space', 'urban functional zoning', 'urban functional region', 'urban decision', 'urban context feature', 'urban area smart', 'urban activity inference', 'understanding urban space', 'timely socioeconomic data', 'spatial temporal coverage', 'spatial status', 'spatial information', 'spatial heterogeneity', 'spatial familiarity', 'spatial context', 'Smart urban future', 'restaurant data', 'OpenStreetMap dataset', 'large data set', 'Inferring urban performance', 'human urban behavior', 'government use data', 'geospatial analysis', 'geolocated dataset', 'geodata analysis', 'Enhanced urban clustering', 'discrete urban space', 'data rich landscape', 'census data', 'capture spatial correlation', 'building permit data', 'big geodata', 'advanced urban application', 'workshop', 'work place detection', 'Urban placeness', 'Urban human mobility', 'Urban computing', 'Street vending', 'starbucks post', 'socioeconomic status', 'socioeconomic feature', 'social science study', 'smart city environment', 'similar region', 'retail store placement', 'restaurant', 'residential travel census', 'reachable area', 'poverty research', 'population movement', 'pedestrian motion', 'pedestrian', 'optimal store placement', 'online gis', 'neighborhood contexts', 'modular decision', 'lockdown policy', 'location semantic predicting', 'location context', 'land use detection', 'land use classification', 'kernelized random walk', 'kernel density', 'international development', 'industry', 'implicit geographic movement', 'impact pedestrian activity', 'human mobility pattern', 'human mobility', 'government knowledge graph', 'geovisual analytics', 'geography', 'geographic knowledge graphs', 'geographic contextual information', 'geographic analysis', 'geodemographic classification', 'future smart city', 'functional region', 'food business', 'edge computing', 'distinguish geographical proximity', 'distance value', 'distance feature', 'contextual influence', 'contextual attribute', 'complex network analysis', 'commercial district discovery', 'city activity', 'city', 'centrality', 'business zone recommender', 'area feature', 'analyze place']",84,"[3, 4, 22, 30, 32, 38, 55, 69, 84, 97, 104, 110, 124, 127, 133, 145, 156, 200, 202, 210, 243, 249, 258, 264, 272, 273, 281, 291, 298, 300, 311, 324, 326, 336, 337, 345, 346, 353, 355, 356, 358, 359, 362, 363, 364, 375, 382, 388, 407, 410, 412, 415, 417, 423, 428, 430, 432, 433, 459, 467, 468, 486, 491, 493, 499, 502, 503, 504, 510, 511, 527, 536, 542, 543, 544, 545, 546, 550, 560, 562, 571, 573, 574, 584]",0.9898,90,50,13
0,root_0,0,41,"['urban planning system', 'urban resource planning', 'urban planning', 'urban complex system', 'urban walkability', 'urban stakeholder', 'urban redevelopment', 'urban problem complaint', 'urban planner', 'urban neighborhood', 'urban issue', 'urban health', 'urban governance issue', 'urban event causes', 'urban environment', 'urban critical infrastructure', 'thing multiagent system', 'scale urban problem', 'large urban police', 'large urban area', 'historical urbanization', 'dynamic urban theory', 'service infrastructure', 'property vacancy', 'popularity', 'popular place', 'planner', 'optimal police', 'neighborhood scale', 'local real estate', 'livability improvement', 'high resolution grid', 'disaster response', 'COVID pandemic', 'civic participation platform', 'city service dimension', 'city image dimension', 'city development', 'citizen report', 'citizen profile', 'built environment practitioner']",51,"[3, 4, 55, 63, 84, 104, 124, 125, 133, 146, 191, 194, 202, 211, 233, 235, 244, 249, 257, 261, 264, 272, 291, 324, 336, 345, 353, 355, 363, 364, 395, 422, 428, 432, 434, 451, 459, 485, 486, 491, 502, 503, 504, 516, 530, 536, 537, 545, 546, 562, 574]",0.9898,90,50,13
0,root_0,1,13,"['population data', 'spatial location demographic', 'population map', 'population', 'pedestrian count data', 'nighttime population number', 'location category', 'unlabeled customer coordinate', 'place modeling', 'likelihood map', 'geotagging', 'geotagged photo', 'geoparsing algorithm']",12,"[32, 104, 124, 133, 353, 358, 362, 373, 415, 428, 435, 511]",0.9898,90,50,13
0,root_1,-1,34,"['trajectory dataset', 'trajectory data', 'system trajectory data', 'GPS trajectory dataset', 'GPS trajectory data', 'bike trajectory data', 'trajectory segmentation', 'traffic profiling', 'traffic pattern detection', 'traffic incident analysis', 'traffic crash location', 'traffic analysis application', 'taxi journey dataset', 'monitoring road traffic', 'flow data', 'eye movement data', 'urban logistics system', 'urban freight transportation', 'Trajectory clustering', 'tourist flow', 'road incident detector', 'logistics transportation', 'fleet service analysis', 'Extracting leisure activity', 'exploratory taxi fleet', 'Data mining tourism', 'daily commute pattern', 'commuting trip', 'commute', 'bike flow pattern', 'bike', 'activity transition', 'activity recommendation', 'activity']",29,"[4, 32, 110, 124, 127, 133, 134, 138, 156, 249, 295, 296, 298, 321, 334, 370, 373, 395, 407, 417, 423, 435, 439, 499, 516, 522, 527, 571, 573]",0.9613,15,25,17
0,root_1,0,17,"['public transportation data', 'transportation data management', 'traditional public transportation', 'transportation impact', 'traffic data', 'public transit travel', 'passenger data', 'big transit data', 'aggregated public transit', 'Transportation', 'train', 'road monitoring application', 'road hazard warning', 'railway safety', 'intercity bus', 'impact', 'high accident risk']",15,"[13, 63, 69, 138, 145, 243, 311, 319, 326, 343, 392, 502, 546, 555, 587]",0.9613,15,25,17
0,root_1,1,28,"['mobility data mining', 'mobility data', 'human mobility data', 'vehicular data', 'travel pattern', 'travel mode detection', 'travel mode choice', 'travel demand model', 'travel behavior research', 'travel behavior interpretation', 'travel activity', 'temporal mobility pattern', 'specific travel time', 'mobility structure detection', 'mobility pattern discovery', 'individual travel behavior', 'human mobility prediction', 'historical data', 'emergency travel time', 'driver survey data', 'transportation mode recognition', 'transportation mode classification', 'temporal trend', 'ridership pattern', 'mode detection', 'massive itinerary', 'historical trajectory', 'historical exploration route']",27,"[30, 69, 104, 134, 233, 257, 261, 281, 296, 326, 373, 392, 395, 423, 425, 430, 433, 451, 459, 491, 503, 516, 522, 530, 536, 555, 571]",0.9613,15,25,17
0,root_2,-1,18,"['unsupervised data', 'unstructured text data', 'unstructured data', 'various data science', 'unsupervised incremental learning', 'unsupervised graphical model', 'unstructured community input', 'textual feedback data', 'text datasets', 'multimodal data distribution', 'data interpretation', 'data analysis', 'social network message', 'social medium', 'sentiment analysis result', 'natural language processing', 'collaborative heterogeneous information', 'annotation model']",14,"[97, 139, 200, 235, 324, 334, 387, 438, 485, 493, 499, 510, 511, 574]",0.9701000000000001,5,20,23
