Cluster,DocId,Text,x,y
0,0,residual network for hyperspectral image classification a deep learning framework in this paper we designed an residual network ssrn that takes raw cubes as input data without feature engineering for hyperspectral image classification in this network the spectral and spatial residual blocks consecutively learn discriminative features from abundant spectral signatures and spatial contexts in hyperspectral imagery hsi the proposed ssrn is a supervised deep learning framework that alleviates the phenomenon of other deep learning models specifically the residual blocks connect every other convolutional layer through identity mapping which facilitates the backpropagation of gradients furthermore we impose batch normalization on every convolutional layer to regularize the learning process and improve the classification performance of trained models quantitative and qualitative results demonstrate that the ssrn achieved the hsi classification accuracy in agricultural and urban data sets indian pines kennedy space center and university of pavia,8.64,-0.8
2,1,monitoring land cover change in urban and areas using dense time stacks of landsat satellite data and a data mining approach given the pace and scale of urban expansion in many parts of the globe urban environments are playing an increasingly important role in daily issues ecological processes climate material flows and land transformations remote sensing has emerged as a powerful tool to monitor rates and patterns of urban expansion but many early challenges such as distinguishing new urban land from bare ground remain unsolved to deal with the high temporal and spatial variability as well as complex classes within settlements this paper presents a new approach that exploits information in dense time stacks of landsat imagery using a composite change detection technique the central premise of the approach is that lands urban areas have distinct temporal trajectories both before and after change occurs and that these lead to characteristic temporal signatures in several spectral regions the method relies on a supervised classification that exploits training data of areas interpreted from google earth images and a force approach of providing all available landsat data as input including scenes with data gaps due to the scan line corrector slc problem three classification algorithms maximum likelihood boosted decision trees and support vector machines were tested for their ability to monitor expansion across five time periods in three study areas that differ in size conditions and of development both the decision trees and support vector machines outperformed the maximum likelihood classifier overall accuracy of compared to but the decision trees were superior at handling missing data adding transformed features such as band metrics to the landsat data stack increased accuracy while experiments with a reduced number of features designed to mimic noisy or missing data led to a drop in accuracy of the methodology also proved particularly effective for monitoring outside the urban core capturing of village settlements,8.46,0.94
0,2,building detection in very high resolution multispectral data with deep learning features the automated object detection and building extraction from single satellite images is still one of the most challenging tasks for various urban planning and monitoring engineering applications to this end in this paper we propose an automated building detection framework from very high resolution remote sensing data based on deep convolutional neural networks the core of the developed method is based on a supervised classification procedure employing a very large training dataset an mrf model is then responsible for obtaining the optimal labels regarding the detection of scene buildings the experimental results and the performed quantitative validation indicate the quite promising potentials of the developed approach,8.2,-1.14
1,3,on big data artificial intelligence and smart cities cities are increasingly turning towards specialized technologies to address issues related to society ecology morphology and many others the emerging concept of smart cities highly encourages this prospect by promoting the incorporation of sensors and big data through the internet of things iot this surge of data brings new possibilities in the design and management of cities just as much as economic prospects while big data processing through artificial intelligence ai can greatly contribute to the urban fabric sustainability and liveability dimensions however must not be overlooked in favour of technological ones this paper reviews the urban potential of ai and proposes a new framework binding ai technology and cities while ensuring the integration of key dimensions of culture metabolism and governance which are known to be primordial in the successful integration of smart cities for the compliance to the sustainable development goal and the new urban agenda this paper is aimed towards policy makers data scientists and engineers who are looking at enhancing the integration of artificial intelligence and big data in smart cities with an aim to increase the liveability of the urban fabric while boosting economic growth and opportunities,5.72,3.64
13,4,partial regression for linking patterns to soil erosion and sediment yield in watersheds there are strong ties between land cover patterns and soil erosion and sediment yield in watersheds the spatial configuration of land cover has recently become an important aspect of the study of geomorphological processes related to erosion within watersheds many studies have used multivariate regression techniques to explore the response of soil erosion and sediment yield to land cover patterns in watersheds however many landscape metrics are highly correlated and may result in redundancy which violates the assumptions of a traditional approach thus leading to singular solutions or otherwise biased parameter estimates and confidence intervals here we investigated the landscape patterns within watersheds in the upper du river watershed in china and examined how the spatial patterns of land cover are related to the soil erosion and sediment yield of watersheds using hydrological modeling and partial regression plsr the results indicate that the watershed soil erosion and sediment yield are closely associated with the land cover patterns at the landscape level landscape characteristics such as shannon diversity index shdi aggregation index ai largest patch index lpi contagion contag and patch cohesion index cohesion were identified as the primary metrics controlling the watershed soil erosion and sediment yield the landscape characteristics in watersheds could account for as much as and of the variation in soil erosion and sediment yield respectively greater interspersion and an increased number of patch land cover types may significantly accelerate soilerosion and increase sediment export plsr can be used to simply determine the relationships between patterns and watershed soil erosion and sediment yield providing quantitative information to allow decision makers to make better choices regarding landscape planning with readily available remote sensing data and rapid developments in geographic information system gis technology this practical and simple plsr approach could be applied to a variety of other watersheds,8.89,1.47
9,5,urban flood risk mapping using the garp and quest models a comparative study of machine learning techniques flood risk mapping and modeling is important to prevent urban flood damage in this study a flood risk map was produced with limited hydrological and hydraulic data using two machine learning models genetic algorithm production garp and quick unbiased efficient statistical tree quest the flood conditioning factors used in modeling were precipitation slope curve number distance to river distance to channel depth to groundwater land use and elevation based on available reports and field surveys for sari city iran points were identified as flooded areas with each flooded zone assigned a value of different conditioning factors including urban density quality of buildings age of buildings population density and conditions were taken into account to analyze flood vulnerability in addition the weight of these conditioning factors was determined based on expert knowledge and fuzzy analytical network process fanp an urban flood risk map was then produced using flood hazard and flood vulnerability maps the area under the characteristic curve and kappa statistic were applied to evaluate model performance the results demonstrated that the garp model kappa had higher performance accuracy than the quest model kappa the results also indicated that distance to channel land use and elevation played major roles in flood hazard determination whereas population density quality of buildings and urban density were the most important factors in terms of vulnerability these findings demonstrate that machine learning models can help in flood risk mapping especially in areas where detailed hydraulic and hydrological data are not available,8.69,1.96
1,6,on the coronavirus outbreak and the smart city network universal data sharing standards coupled with artificial intelligence ai to benefit urban health monitoring and management as the coronavirus expands its impact from china expanding its catchment into surrounding regions and other countries increased national and international measures are being taken to contain the outbreak the placing of entire cities in lockdown directly affects urban economies on a level including from social and economic standpoints this is being emphasised as the outbreak gains ground in other countries leading towards a global health emergency and as global collaboration is sought in numerous quarters however while effective protocols in regard to the sharing of health data is emphasised urban data on the other hand specifically relating to urban health and safe city concepts is still viewed from a nationalist perspective as solely benefiting a nation s economy and its economic and political influence this perspective paper written one month after detection and during the outbreak surveys the virus outbreak from an urban standpoint and advances how smart city networks should work towards enhancing standardization protocols for increased data sharing in the event of outbreaks or disasters leading to better global understanding and management of the same,5.32,3.7
5,7,a predictive model of energy use in buildings many cities across the united states have turned to building energy disclosure or benchmarking laws to encourage transparency in energy efficiency markets and to support sustainability and carbon reduction plans in addition to direct comparisons the benchmarking data published under these laws have been used as a tool by researchers and to study the distribution and determinants of energy use in large buildings however these policies only cover a small subset of the building stock in a given city and thus capture only a fraction of energy use at the urban scale to overcome this limitation we develop a predictive model of energy use at the building district and city scales using training data from energy disclosure policies and predictors from property and zoning information we use statistical models to predict the energy use of million buildings in new york city using the physical spatial and energy use attributes of a subset derived from buildings required to report energy use data each year linear regression ols random forest and support vector regression svm algorithms are fit to the city energy benchmarking data and then used to predict electricity and natural gas use for every property in the city model accuracy is assessed and validated at the building level and zip code level using actual consumption data from calendar year we find the ols model performs best when generalizing to the city as a whole and svm results in the lowest mean absolute error for predicting energy use within the sample our median predicted electric energy use intensity for office buildings is and for residential buildings is with mean absolute log accuracy ratio of building age is found to be a significant predictor of energy use with newer buildings particularly those built since found to have higher consumption levels than those constructed before we also find higher electric consumption in office and retail buildings although the sign is reversed for natural gas in general larger buildings use less energy per square foot while taller buildings with more stories controlling for floor area use more energy per square foot attached buildings those with adjacent buildings and a shared party wall are found to have lower natural gas use intensity the results demonstrate that electricity consumption can be reliably predicted using actual data from a relatively small subset of buildings while natural gas use presents a more complicated problem given the bimodal distribution of consumption and infrastructure availability,8.59,3.85
12,8,simulating dynamics under planning policies by integrating artificial immune systems with cellular automata cellular automata ca have been increasingly used in simulating urban expansion and dynamics however most urban ca models rely on empirical data for deriving transition rules assuming that the historical trend will continue into the future such inertia ca models do not take into account possible external interventions particularly planning policies and thus have rarely been used in urban and planning this paper proposes to use artificial immune systems ais as a technique for incorporating external interventions and generating alternatives in urban simulation inspired by biological immune systems the primary process of ais is the evolution of a set of that are capable of learning through interactions with a set of sample these finally get and can be used to other an ca model incorporates planning policies by altering the evolution mechanism of the such a model is capable of generating different scenarios of urban development under different policies with which the planners will be able to answer if questions and to evaluate different options we applied an ca model to the simulation of urban agglomeration development in the pearl river delta in southern china our experiments demonstrate that the proposed model can be very useful in exploring various planning scenarios of urban development,7.5,2.85
13,9,urbanization impact on landscape patterns in beijing city china a spatial heterogeneity perspective the temporal and spatial characteristics of landscape pattern change can reflect the spatial impact of urbanization on the ecological environment studying the relationship between urbanization and landscape patterns can provide supports for urban ecological management previous studies have examined the quantitative relationship between the social economy and landscape patterns of an entire region but have not considered the spatial of this relationship in this study we characterized the landscape patterns in beijing city china during and using four landscape metrics patch density pd edge density ed shannon diversity index shdi and the aggregation index ai geographically weighted regression gwr was employed to identify the spatial heterogeneity and evolution characteristics of the relationship between the urbanization of population density pop gross domestic production gdp and nighttime lighting ntl and landscape patterns the evolution of urban landscape patterns indicated a decentralized aggregated and fragmented change from the downtown to the suburb and outer suburb during the period the average pd in the downtown increased by and the increase of ai in the suburb was the largest the pd ed and shdi increased by different degrees in the outer suburb the influences of different urbanization modes on landscape patterns were also different infilling mode made the landscape patterns more regular and integrated the landscape was more broken and complicated under the mode and the leapfrog mode made pd and shdi increase slightly in the relationship interpretation gwr effectively identified the spatial heterogeneity and improved the explanatory ability compared to ordinary least squares ols the most intense response to urbanization was the forest landscape and the land ecotone in the northwest of beijing city indicating that this region was ecologically fragile the population density in the urbanization index had a direct effect on landscape patterns while the pd affected by urbanization was greater than the shape aggregation and diversity index affected by development policy urban planning and other factors the explanation degree of social economy to landscape patterns decreased in gwr is an effective method for quantifying the spatial differentiation characteristics of urbanization impacts on landscape patterns which can provide more spatial information and decision criteria for the green development of a compact city,8.9,1.58
