Cluster,NumDocs,Percent,DocIds,Topics
-1,76,0.13013698630136986,"[5, 8, 10, 14, 35, 36, 42, 46, 51, 52, 69, 73, 79, 83, 85, 86, 117, 124, 128, 134, 136, 140, 149, 153, 162, 164, 169, 172, 174, 181, 185, 196, 201, 208, 209, 221, 226, 235, 243, 246, 247, 252, 253, 254, 259, 277, 278, 318, 323, 326, 328, 339, 348, 350, 355, 380, 391, 394, 395, 412, 413, 420, 425, 434, 443, 447, 452, 466, 467, 524, 544, 562, 565, 571, 588, 598]","stream water quality, urban functional zone, road traffic noise, electric consumption data, electric consumption, artificial neural network, cultural ecosystem service, urban form indicator, health hazard, water resource management"
0,131,0.2243150684931507,"[1, 2, 3, 12, 17, 19, 21, 25, 26, 30, 31, 37, 49, 53, 54, 56, 58, 61, 63, 64, 68, 70, 71, 72, 74, 76, 77, 81, 84, 90, 96, 99, 100, 102, 105, 109, 110, 111, 112, 113, 125, 126, 137, 139, 143, 144, 147, 148, 150, 156, 166, 171, 173, 176, 177, 178, 182, 186, 197, 202, 204, 211, 220, 223, 224, 228, 237, 238, 242, 245, 249, 256, 292, 297, 300, 304, 313, 324, 327, 329, 332, 347, 361, 364, 367, 378, 382, 385, 389, 399, 401, 407, 411, 428, 430, 431, 437, 439, 444, 450, 451, 454, 455, 459, 460, 465, 469, 471, 474, 484, 486, 488, 497, 503, 504, 505, 506, 521, 522, 531, 532, 535, 537, 538, 539, 540, 548, 564, 568, 575, 576]","land cover, remote sensing image, land cover classification, urban land cover, change detection, image, land cover change, cover, urban land use, land cover map"
1,218,0.3732876712328767,"[4, 7, 13, 15, 16, 18, 27, 32, 33, 38, 40, 43, 44, 47, 57, 60, 62, 65, 78, 82, 87, 92, 93, 94, 97, 103, 106, 107, 108, 115, 116, 118, 122, 123, 127, 129, 133, 141, 142, 158, 159, 161, 170, 175, 180, 187, 189, 190, 191, 193, 203, 205, 207, 210, 212, 215, 218, 219, 225, 230, 231, 232, 233, 236, 240, 248, 250, 258, 260, 261, 262, 264, 265, 268, 270, 272, 273, 275, 276, 279, 281, 282, 284, 285, 288, 289, 295, 296, 298, 299, 301, 302, 305, 310, 311, 316, 317, 320, 321, 331, 334, 335, 337, 341, 343, 344, 346, 351, 352, 353, 354, 357, 360, 366, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 379, 381, 387, 388, 392, 393, 397, 398, 400, 402, 403, 404, 405, 406, 408, 409, 410, 417, 419, 422, 423, 426, 433, 442, 448, 449, 453, 461, 464, 468, 470, 477, 478, 482, 483, 487, 489, 490, 491, 492, 494, 495, 496, 498, 500, 501, 502, 508, 511, 512, 513, 514, 515, 516, 517, 518, 519, 520, 523, 525, 528, 529, 530, 533, 534, 542, 543, 545, 547, 549, 550, 552, 555, 556, 557, 558, 559, 561, 563, 566, 567, 574, 577, 578, 581, 582, 584, 585, 587, 589, 591, 593, 597, 600]","mobility, human mobility, traffic, urban human mobility, travel, human mobility data, mobile phone data, smart city, traffic flow, planning support system"
2,28,0.04794520547945205,"[22, 24, 28, 101, 114, 119, 146, 157, 179, 199, 206, 213, 255, 257, 286, 356, 414, 416, 421, 435, 440, 446, 479, 480, 493, 499, 572, 580]","urban heat island, land surface temperature, temperature, thermal comfort, heat, ventilation, energy, urban heat, energy performance, air temperature"
3,31,0.053082191780821915,"[11, 20, 41, 88, 132, 145, 188, 263, 271, 309, 333, 336, 342, 363, 365, 384, 390, 427, 436, 438, 441, 445, 463, 472, 507, 536, 541, 546, 551, 569, 579]","building block level, positive deviance, park accessibility, address matching method, community life circle, urban functional area, holistic visual data, identify urban poverty, life circle, urban poverty"
4,8,0.0136986301369863,"[66, 91, 198, 222, 340, 345, 432, 554]","urban greenness space, red mason bee, daily accessed street, visible street greenery, street greenery, body mass index, land readjustment policy, spatially varied impact, assessment using machine, land policy"
5,11,0.018835616438356163,"[23, 131, 244, 274, 293, 306, 509, 583, 590, 594, 595]","complexity science research, urban planning reform, residential land growth, complexity science, intelligent computation, urbanization process, analog, analog model, urban land dynamic, land growth simulation"
6,5,0.008561643835616438,"[6, 121, 154, 462, 475]","urban pluvial flooding, flood, urban flood risk, flood risk mapping, evaluate model performance, emergency response centre, multiple layer perceptron, maximum coverage location, coverage location problem, location problem model"
7,5,0.008561643835616438,"[138, 415, 526, 527, 573]","climate change mitigation, smart environment design, environment design planning, air quality, air, geographically differentiated climate, differentiated climate change, transforming scientific discipline, applied machine learning, machine learning study"
8,13,0.02226027397260274,"[135, 192, 195, 200, 227, 269, 307, 312, 314, 383, 386, 476, 553]","urban design problem, explore important feature, emotional computing technics, city image dimension, emotion, urban identity, urban emotion, interactive machine learning, advertising, present day condition"
9,11,0.018835616438356163,"[34, 48, 183, 216, 241, 294, 322, 429, 592, 596, 599]","expert system, search asset allocation, urban information system, heterogeneous expert knowledge, democratic urban land, expert system approach, intelligent decision making, mathematical programming, artificial intelligence technology, search asset"
10,10,0.017123287671232876,"[59, 184, 194, 217, 239, 251, 287, 308, 457, 481]","urban modeling technique, local urban perception, proposed urban modeling, urban modeling, adversarial scoring framework, urban perception assessment, building usable floor, usable floor area, spatial information system, predict building height"
11,8,0.0136986301369863,"[67, 120, 130, 168, 229, 266, 325, 396]","landslide susceptibility, landslide, landslide susceptibility mapping, susceptibility, rockfall hazard assessment, landslide susceptibility assessment, landslide susceptibility model, utility computing model, shallow landslide, rockfall hazard"
12,10,0.017123287671232876,"[9, 29, 50, 75, 104, 155, 160, 456, 485, 560]","carbon sequestration potential, urban land growth, land use change, simulating urban expansion, food productivity, land use policy, agricultural afforestation, artificial immune system, land change science, highest simulation accuracy"
13,11,0.018835616438356163,"[39, 45, 89, 95, 98, 151, 165, 234, 330, 349, 424]","temperature, surface temperature, urban thermal landscape, thermal landscape pattern, land surface temperature, thermal landscape, thermal patch, urban thermal condition, urban thermal environment, aridity"
14,8,0.0136986301369863,"[167, 283, 290, 315, 338, 418, 473, 570]","densification, densification potential, partly complex description, knowledge discovery technique, high dimensional data, knowledge discovery system, defines objective criterion, increasingly large number, urban place detection, longstanding regional science"
