Cluster,DocId,top_num,Diversity,top_0_phrase,top_0_score,top_1_phrase,top_1_score,top_2_phrase,top_2_score,top_3_phrase,top_3_score,top_4_phrase,top_4_score,top_5_phrase,top_5_score,top_6_phrase,top_6_score,top_7_phrase,top_7_score,top_8_phrase,top_8_score,top_9_phrase,top_9_score,top_10_phrase,top_10_score,top_11_phrase,top_11_score,top_12_phrase,top_12_score,top_13_phrase,top_13_score,top_14_phrase,top_14_score,top_15_phrase,top_15_score,top_16_phrase,top_16_score,top_17_phrase,top_17_score,top_18_phrase,top_18_score,top_19_phrase,top_19_score
0,4,10,0.1,smart city,0.62725484,big data,0.457714,urban potential,0.4486407,AI technology,0.42570984,Big Data processing,0.43097094,city,0.3818667,artificial intelligence,0.371581,data brings,0.34187227,data,0.3408738,Data processing,0.3145761,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.2,smart city,0.62725484,big data,0.457714,urban potential,0.4486407,AI technology,0.42570984,Big Data processing,0.43097094,city,0.3818667,data brings,0.34187227,artificial intelligence,0.371581,data,0.3408738,Data processing,0.3145761,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.3,smart city,0.62725484,AI technology,0.42570984,big data,0.457714,urban potential,0.4486407,Big Data processing,0.43097094,city,0.3818667,data brings,0.34187227,artificial intelligence,0.371581,data,0.3408738,Data processing,0.3145761,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.4,smart city,0.62725484,AI technology,0.42570984,Big Data processing,0.43097094,urban potential,0.4486407,data brings,0.34187227,big data,0.457714,city,0.3818667,artificial intelligence,0.371581,data,0.3408738,Data processing,0.3145761,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.5,smart city,0.62725484,AI technology,0.42570984,Big Data processing,0.43097094,data brings,0.34187227,urban potential,0.4486407,city,0.3818667,big data,0.457714,artificial intelligence,0.371581,data,0.3408738,Data processing,0.3145761,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.6,smart city,0.62725484,AI technology,0.42570984,data,0.3408738,Big Data processing,0.43097094,urban potential,0.4486407,city,0.3818667,big data,0.457714,data brings,0.34187227,artificial intelligence,0.371581,Data processing,0.3145761,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.7,smart city,0.62725484,data,0.3408738,AI technology,0.42570984,Big Data processing,0.43097094,urban potential,0.4486407,city,0.3818667,big data,0.457714,data brings,0.34187227,Data processing,0.3145761,artificial intelligence,0.371581,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.8,smart city,0.62725484,data,0.3408738,AI technology,0.42570984,Big Data processing,0.43097094,urban potential,0.4486407,city,0.3818667,big data,0.457714,data brings,0.34187227,Data processing,0.3145761,artificial intelligence,0.371581,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,0.9,smart city,0.62725484,data,0.3408738,artificial intelligence,0.371581,Big Data processing,0.43097094,urban potential,0.4486407,city,0.3818667,big data,0.457714,data brings,0.34187227,Data processing,0.3145761,AI technology,0.42570984,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,10,1.0,smart city,0.62725484,data,0.3408738,artificial intelligence,0.371581,Big Data processing,0.43097094,urban potential,0.4486407,city,0.3818667,big data,0.457714,Data processing,0.3145761,data brings,0.34187227,AI technology,0.42570984,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0,NAN,0.0
0,4,20,0.1,smart city,0.62725496,big data,0.45771402,urban potential,0.44864082,AI technology,0.4257099,Big Data processing,0.43097088,city,0.38186675,artificial intelligence,0.37158093,data brings,0.34187222,data,0.34087372,Data processing,0.3145761,intelligence,0.28970372676849365,sustainability,0.25863116979599,liveability dimension,0.23328226804733276,sensor,0.24395185708999634,urban fabric,0.25006231665611267,economic prospect,0.2017086297273636,liveability,0.2355041801929474,new framework,0.17075452208518982,technology,0.19025355577468872,ecology,0.17758318781852722
0,4,20,0.2,smart city,0.62725496,big data,0.45771402,urban potential,0.44864082,AI technology,0.4257099,Big Data processing,0.43097088,city,0.38186675,data brings,0.34187222,artificial intelligence,0.37158093,liveability dimension,0.23328227,sustainability,0.25863117,sensor,0.24395185708999634,data,0.34087371826171875,intelligence,0.28970372676849365,Data processing,0.31457608938217163,urban fabric,0.25006231665611267,economic prospect,0.2017086297273636,new framework,0.17075452208518982,technology,0.19025355577468872,liveability,0.2355041801929474,ecology,0.17758318781852722
