No,DocId,key-phrases,key-phrases-similarity
1,1,"['modern civil society', 'urban suburban dweller', 'Urban social life', 'suburban dweller', 'civil society']","['Urban social life', 'urban life', 'urban sociology', 'automobile', 'modern civil society']"
2,4,"['urban study area', 'typhoid fever case', 'urban area', 'urban study', 'Typhoid fever']","['typhoid immunisation', 'Typhoid fever', 'typhoid fever case', 'typhoid', 'Salmonella typhi']"
3,11,"['Zurich investigated leisure', 'public green space', 'foreign resident youth', 'investigated leisure activity', 'immigrant young people']","['public green space', 'foreign resident youth', 'immigrant young people', 'social inclusion', 'Zurich investigated leisure']"
4,13,"['numerous social conflict', 'traditional Chinese culture', 'Social impact assessment', 'Guangzhou case study', 'Social impact']","['Social impact assessment', 'Guangzhou case study', 'urban development', 'participatory planning', 'impact assessment']"
5,17,"['problematic street culture', 'recent development appear', 'problematic street', 'recent development', 'street culture']","['problematic street culture', 'street culture', 'Revanchist sanitisation', 'problematic street', 'revanchist expulsion']"
6,18,"['many different dimension', 'different dimension', 'suburban definition', 'topical issue', 'physical appearance']","['suburb', 'suburb shape', 'suburban definition', 'area', 'semantics']"
7,27,"['urban young people', 'urban study site', 'urban study', 'young people', 'young life']","['urban young people', 'young life', 'mobility', 'urban study', 'mobility experience']"
8,29,"['exemplary American metropolis', 'cooperative urban planning', 'provincial western city', 'American urban planning', 'distinctive civic culture']","['support urban progress', 'Portland style', 'urban progress', 'Portlanders', 'exemplary American metropolis']"
9,32,"['disaster first hand', 'first hand', 'Natural disaster', 'formidable disaster', 'nuclear crisis']","['nuclear crisis', 'tsunami', 'Natural disaster', 'tragic catastrophe', 'Japanese culture']"
10,39,"['contemporary public policy', 'behaviour change policy', 'public policy', 'change policy', 'behaviour change']","['Brain culture', 'brain', 'neuroscience', 'behavioural science', 'behaviour change policy']"
11,49,"['British imperial culture', 'British African colony', 'imperial culture', 'African colony', 'African empire']","['British African colony', 'colonial discourse', 'African empire', 'African colony', 'colonial hegemony']"
12,56,"['various governmental body', 'local general public', 'Bai architecture revitalization', 'Bai architecture', 'governmental body']","['city branding', 'heritage management', 'architecture revitalization', 'cultural city', 'heritage']"
13,60,"['Old Beijing neighborhood', 'unpopular outdoor place', 'potential recreational area', 'regarding urban design', 'appropriate data source']","['unpopular outdoor place', 'popular place', 'urban area', 'popular restaurant', 'urban design']"
14,61,"['various edited book', 'Chris RojekEditorial assistant', 'Martine JonsrudProduction editor', 'Jacque WoolleyMarketing manager', 'Alison BorgCover design']","['event management profession', 'event industry', 'festival tourism', 'festival environment', 'international festival environment']"
15,73,"['similar ethnic background', 'local ethnic community', 'new Canadian immigrant', 'particular ethnic group', 'Canadian immigrant']","['ethnic concentration', 'ethnic community', 'local ethnic community', 'new Canadian immigrant', 'Canadian immigrant']"
16,78,"['urban regime theory', 'account geographical scale', 'regime theory literature', 'geographical scale', 'urban regime']","['urban regime theory', 'urban governance', 'urban regime', 'urban study', 'local government']"
17,83,"['Official rhetoric address', 'address visible homelessness', 'voluntary agency resort', 'Radical voice aim', 'voluntary agency']","['address visible homelessness', 'hidden homelessness', 'visible homelessness', 'homeless', 'homelessness']"
18,84,"['ordinary public space', 'contemporary urban street', 'North American city', 'genuine social life', 'outdoor social activity']","['urban public space', 'contemporary urban street', 'ordinary public space', 'urban neighbourhood', 'outdoor social activity']"
19,92,"['contemporary social change', 'social change', 'social science', 'social psychology', 'urban study']","['housing study', 'housing', 'sociobiology', 'sociology', 'urban study']"
20,105,"['successful Lean implementation', 'affect project performance', 'top management support', 'satisfy project requirement', 'construction industry practitioner']","['successful Lean implementation', 'Lean implementation', 'Lean practitioner', 'Lean philosophy', 'Lean practice']"
21,110,"['intimate local trauma', 'Karl Marx square', 'East German protest', 'local trauma exhibit', 'essential turning point']","['East German protest', 'Karl Marx square', 'Marx square', 'German protest', 'Communist authority']"
22,125,"['Australian urban water', 'sustainable urban water', 'basic social element', 'urban water strategy', 'sustainable water management']","['Australian urban water', 'urban water strategy', 'sustainable urban water', 'sustainable water', 'sustainable water management']"
23,135,"['urban English pub', 'responsible social interaction', 'English public house', 'UK planning system', 'youth drinking culture']","['urban English pub', 'youth drinking culture', 'traditional pub', 'English pub', 'youth drinking']"
24,137,"['various urban resource', 'extent certain area', 'certain area', 'urban resource', 'urban conflict']","['urban conflict', 'conflict activity', 'urban space', 'conflict', 'urban resource']"
25,146,"['major economic return', 'economic return', 'limited attention', 'urban study', 'material feature']","['festival', 'festival show', 'urban study', 'urban place', 'event']"
26,153,"['latent structural mechanism', 'allow structural coordination', 'domestic city organisation', 'domestic organisation employ', 'urban governance study']","['urban governance', 'city organisation', 'domestic city organisation', 'urban governance study', 'governance mode']"
27,157,"['pattern language formation', 'urban planning policy', 'Urban architecture project', 'case study city', 'host community respond']","['refugee integration', 'refugee interact', 'refugee experience', 'Urban architecture', 'refugee crisis']"
28,161,"['use central coordinator', 'initial experimental result', 'central coordinator', 'experimental result', 'complex interaction']","['traffic simulation', 'pedestrian movement', 'traffic flow', 'Simulated people', 'Smart city']"
29,194,"['Third World country', 'Modernist high rise', 'high rise housing', 'housing development board', 'development board housing']","['Vernacular architecture', 'Modernist high rise', 'high rise housing', 'housing development', 'Singaporean society']"
30,228,"['structural beauty arises', 'Structural beauty', 'beauty arises', 'mathematical structure', 'computational approach']","['Structural beauty', 'structural beauty arises', 'art', 'architecture', 'beauty']"
31,235,"['contemporary Thai youth', 'Chiang Mai construct', 'rural urban distinction', 'dramatic social change', 'anonymous urban environment']","['contemporary Thai youth', 'Thai youth', 'young Thai people', 'youth subculture', 'conspicuous youth subculture']"
32,283,"['public online discussion', 'digital political discussion', 'digital social movement', 'Digital platform support', 'political action online']","['digital political discussion', 'communicative organizationality', 'digital social movement', 'political action online', 'political discussion']"
33,289,"['African urban resident', 'urban resident', 'African mobility', 'African history', 'horn mobility']","['African mobility', 'African history', 'colonial politics', 'African culture', 'colonial authority']"
34,382,"['featuring traditional recipe', 'Taiwan Indigenous TV', 'mainstream Taiwanese society', 'first TV station', 'inadequate health care']","['Taiwan Indigenous TV', 'Indigenous TV', 'indigenous people', 'mainstream Taiwanese society', 'Taiwanese society']"
