No,DocId,key-phrases,key-phrases-rake
1,77,"['Western urban design', 'urban design', 'town building movement', 'Town planning', 'new town building']","['Western urban design', 'local regional influence', 'local political leader', 'new town building', 'town building movement']"
2,144,"['vernacular architectural heritage', 'vernacular architecture', 'vernacular heritage', 'architectural heritage', 'urban form']","['vernacular architectural heritage', 'primary field observation', 'contemporary planning ideology', 'architectural heritage', 'primary field']"
3,170,"['Armenian capital', 'ruralization', 'urban intelligentsia', 'ruralization process', 'urban planning']","['ignoble savage', 'recent development', 'Armenian capital', 'urban population', 'social category']"
4,224,"['human settlement', 'shelter', 'shelter programme', 'space', 'architect']","['overall environment', 'significant resource', 'immediate environment', 'invaluable resource', 'micro level']"
5,229,"['urban design', 'urban design practice', 'Indian city', 'built morphology', 'design spatial theory']","['sensitive responsive proposal', 'urban design practice', 'design spatial theory', 'key trading centre', 'urban design']"
6,265,"['urban area', 'Capital Region plan', 'human settlement', 'urban area show', 'many district']","['Capital Region plan', 'urban area show', 'urban area', 'Region plan', 'area show']"
7,267,"['Neoliberal urban sustainability', 'urban sustainability', 'urban governance', 'cultural cityscape', 'Neoliberalism']","['Neoliberal urban sustainability', 'decentralized urban facility', 'market economic valuation', 'purchasing power parity', 'economic valuation']"
8,282,"['urban spectacle', 'eventful urban space', 'contemporary urbanism', 'Indian city', 'urban space']","['conventional physical entity', 'dominant visual culture', 'eventful urban space', 'possess unique identity', 'unique identity']"
9,291,"['psychological characteristic', 'psychological portrait', 'traditional culture', 'indigenous people', 'culture']","['impoverished living environment', 'impoverished living', 'urban environment', 'living environment', 'psychological characteristic']"
10,320,"['study urban sprawl', 'urban sprawl', 'social urbanism', 'urban growth', 'urban sprawl finish']","['study urban sprawl', 'urban sprawl finish', 'urban sprawl', 'urban study', 'sprawl finish']"
11,374,"['citizenship education', 'citizen orientation', 'citizenship law', 'word citizen', 'citizenship']","['library research', 'Effective solution', 'developed country', 'Move towards', 'geographic space']"
12,379,"['nomadism', 'nomadic national identity', 'Mongolian pastoralists', 'urban periphery', 'nomad']","['nomadic national identity', 'national identity', 'Mongolian government', 'Brazilian government', 'vibrant part']"
