No,DocId,key-phrases,key-phrases-rake
1,76,"['inclusive urban design', 'inclusive design', 'sustainable urban area', 'urban design consideration', 'urban design']","['safe pedestrian routeways', 'inclusive urban design', 'sustainable urban area', 'many design policy', 'commensurate transport policy']"
2,82,"['public apartment', 'apartment', 'housing anxiety', 'improved building', 'housing']","['different feasible manner', 'improved building plan', 'building spare space', 'improved building', 'spare space']"
3,90,"['commenrcial signage approach', 'commenrcial signage', 'commercial signage', 'commercial signage control', 'signage approach']","['different commenrcial signage', 'different historic city', 'commenrcial signage approach', 'different urban contexts', 'commercial signage control']"
4,122,"['Product Urban design', 'Urban design', 'courtyard', 'urban interior design', 'large courtyard']","['different urban imaginary', 'urban interior design', 'Product Urban design', 'Urban design', 'interior design']"
5,179,"['smart urban furniture', 'innovative urban furniture', 'urban smart furniture', 'inclusive design', 'urban furniture']","['urban smart furniture', 'smart urban furniture', 'innovative urban furniture', 'smart furniture', 'urban furniture']"
6,222,"['street furniture', 'Ergonomics', 'Ergonomics methodology', 'furniture', 'public area']","['regional cultural expression', 'cultural expression', 'important role', 'interactive role', 'comparative study']"
7,243,"['sustainable architecture', 'contemporary architecture', 'glass facade', 'modern building', 'contemporary building']","['representative public area', 'new architectural solution', 'classifies different approach', 'main design strategy', 'different approach']"
8,246,"['urban land use', 'urban land', 'pedestrianization', 'land use', 'land value']","['urban land use', 'old city center', 'middle income people', 'urban land', 'old city']"
9,261,"['product design', 'pleasure model', 'design', 'design approach', 'built environment']","['cultural reference point', 'cultural reference', 'reference point', 'emergent practice', 'emotional response']"
10,270,"['urban public art', 'public art', 'urban design', 'urban culture', 'digital information technology']","['urban public art', 'colorful city life', 'digital information technology', 'colorful city', 'public art']"
11,272,"['Public open space', 'urban space organization', 'urban space', 'urban planning', 'open space availability']","['Public open space', 'Francisco City case', 'open space availability', 'urban space organization', 'regional planning consideration']"
12,279,"['cultural conceptualization', 'cultural process', 'environmental affordances', 'urban material structure', 'urban design']","['human situated experience', 'illustrative case example', 'urban material structure', 'illustrative case', 'situated experience']"
13,288,"['pedestrian mall', 'modern city development', 'urban design', 'commercial area', 'Irbid city downtown']","['Irbid city downtown', 'modern city development', 'designed space relies', 'designer personal perception', 'social development goal']"
14,295,"['sustainable urban planning', 'urban planning', 'quality urban space', 'social sustainability', 'building designer']","['sustainable urban planning', 'quality urban space', 'life social dimension', 'urban space', 'urban planning']"
15,299,"['contemporary urban design', 'urban design', 'urban environment', 'design', 'place']","['powerful starting point', 'contemporary urban design', 'first section outline', 'starting point', 'first section']"
16,312,"['disability', 'warning system', 'unified warning system', 'blindness', 'disability move']","['total country population', 'unified warning system', 'total country', 'unified warning', 'country population']"
17,318,"['Modern urban life', 'urban planning', 'urban contexts', 'urban life', 'city planning']","['Modern urban life', 'city planning process', 'urban planning', 'urban life', 'city planning']"
18,326,"['contemporary public space', 'architecture humanization', 'Contemporary library', 'library', 'architecture']","['contemporary public space', 'silent study hall', 'public space', 'silent study', 'Contemporary library']"
19,336,"['urban space design', 'urban design criterion', 'urban environment', 'urban public space', 'urban design']","['urban open space', 'human physical characteristic', 'high unpleasant humidity', 'urban public space', 'different urban space']"
20,338,"['urban public space', 'public space', 'contemporary city', 'urban life', 'city']","['different social group', 'urban public space', 'social group', 'public space', 'urban population']"
21,340,"['urban planning', 'placemaking', 'urban planning process', 'urban landscape', 'Urban planner']","['urban planning process', 'urban planning', 'planning process', 'urban landscape', 'Urban planner']"
22,343,"['architectural space', 'Today architectural space', 'architectural concept', 'architecture', 'contemporary information technology']","['contemporary information technology', 'social interaction technology', 'brings important concern', 'Today architectural space', 'important concern']"
23,346,"['small bathroom', 'bathroom transformation', 'little bathroom space', 'bathroom space', 'product design']","['little bathroom space', 'universal design principal', 'cross disciplinary field', 'home culture research', 'universal design']"
24,352,"['Chinese architectural design', 'building design', 'residential design', 'modern residential design', 'architectural design']","['combined aggregate concrete', 'autoclaved aerated concrete', 'main urban area', 'flattened Brazilian disc', 'static diametral compression']"
25,355,"['public space activization', 'public space creation', 'attractive public space', 'city space attractiveness', 'city centre space']","['attractive public space', 'quality public space', 'public space creation', 'public space activization', 'Poznan city centre']"
26,358,"['city space', 'urban reality', 'ConnectiCity initiative', 'urban planning', 'urban life']","['novel form', 'urban planning', 'public policy', 'social network', 'digital information']"
27,370,"['Urban design', 'urban design contribute', 'Architecture', 'Good architecture', 'socialization']","['urban design contribute', 'outstanding building project', 'Urban design', 'outstanding building', 'design contribute']"
28,375,"['Calligraphy art', 'calligraphy', 'poetic dwelling', 'urban living environment', 'urban living']","['whole moral decline', 'simple short calm', 'quiet indifferent way', 'modern urban people', 'accelerated urbanization process']"
29,388,"['urban design', 'urban plazas', 'urban pattern', 'major urban plazas', 'designer personal perception']","['Greater Amman area', 'residential commercial district', 'major urban plazas', 'various area public', 'designed space relies']"
