No,DocId,key-phrases,key-phrases-rake
1,10,"['environmental debate', 'contentious environmental debate', 'risk framework', 'risk communication', 'culture']","['contentious environmental debate', 'environmental debate', 'industrial development', 'social amplification', 'social production']"
2,51,"['Wildfire risk', 'effective landscape planning', 'landscape planning', 'anthropogenic burning', 'conservation practice']","['key environmental management', 'Mediterranean climatic region', 'vital historical component', 'early modern era', 'environmental management stakeholder']"
3,62,"['land owner', 'Sustainable landscape planning', 'Property right', 'Sustainable landscape', 'natural property right']","['multiple logistic regression', 'Teton Valley case', 'rapid unplanned growth', 'logistic regression model', 'natural property right']"
4,74,"['natural resource management', 'unceded urban place', 'urbanised place', 'urban place', 'yanama budyari gumada']","['unceded urban place', 'natural resource management', 'frame natural resource', 'yanama budyari gumada', 'natural resource']"
5,101,"['street homelessness', 'street homeless', 'homelessness', 'homeless', 'Indigenous people']","['diverse major city', 'northernmost capital city', 'contemporary policy aim', 'towards Indigenous people', 'major city']"
6,127,"['Aboriginal youth subculture', 'Aboriginal community', 'disadvantaged Aboriginal community', 'Aboriginal youth', 'Aboriginal culture']","['residual communal presence', 'local communal heritage', 'numerous Aboriginal organization', 'disadvantaged Aboriginal community', 'civic booster strategy']"
7,136,"['Aboriginal participation', 'indigenous participation', 'diverse city', 'urban polity', 'Indigenous people']","['empirical case study', 'empirical case', 'case study', 'empirical support', 'diverse city']"
8,140,"['death', 'Quebec rural francophones', 'ethnographic study', 'rural francophones', 'Milieu rural']","['previous urban study', 'Quebec rural francophones', 'urban study', 'Milieu rural', 'ethnographic study']"
9,164,"['Indigenous family retain', 'Indigenous community', 'Aboriginal family', 'Indigenous family', 'Indigenous theme']","['underlying cultural assumption', 'Participatory design activity', 'public policy recommendation', 'Indigenous family retain', 'Participatory design']"
10,199,"['Indigenous placemaking', 'Indigenous culture', 'transformative urban design', 'settler city', 'urban design']","['positive symbolic capital', 'transformative urban design', 'symbolic capital', 'urban design', 'urban inhabitant']"
11,220,"['modern environmental hazard', 'environmental concern', 'environmental hazard', 'religious community', 'risk perception']","['conservative religious community', 'modern environmental hazard', 'sensitive risk management', 'risk management strategy', 'sensitive risk']"
12,221,"['sustainable lifestyle practice', 'sustainable development', 'sustainability', 'Australasian region', 'lifestyle practice']","['old European way', 'sustainable lifestyle practice', 'many island nation', 'Key issue relate', 'European way']"
13,309,"['Aboriginal community', 'architecture', 'indigenous knowledge', 'indigenous people', 'culture']","['substantial historical research', 'iredale pedersen hook', 'central business district', 'iredale pedersen', 'central business']"
14,317,"['Balinese culture', 'Balinese society', 'Balinese society refers', 'cultural conservation', 'bali']","['Balinese society refers', 'Balinese society', 'Balinese culture', 'society refers', 'celebrated culture']"
15,367,"['Intercultural landscape', 'contemporary urban centre', 'cultural literacy framework', 'landscape architect', 'cultural literacy']","['sensitive public space', 'contemporary urban centre', 'cultural literacy framework', 'Cultural Literacy tool', 'cultural literacy']"
16,383,"['Indigenous movement', 'indigenous people', 'aboriginal affair', 'council', 'habitation']","['Indigenous movement', 'indigenous people', 'traditional wisdom', 'promising venture', 'new partnership']"
