No,DocId,key-phrases,key-phrases-rake
1,68,"['material culture', 'recognizable material culture', 'national geography', 'urban plan', 'national integration']","['standard recognizable material', 'ambitious infrastructural project', 'uniform urban plan', 'extensive tangible scaffolding', 'recognizable material culture']"
2,91,"['walled city', 'heritage building', 'heritage', 'local economy', 'building']","['favourable tax policy', 'example favourable tax', 'low income inhabitant', 'selective conservation approach', 'favourable tax']"
3,103,"['Arab culture', 'traditional settlement', 'traditional community', 'genealogical tree', 'genealogy']","['several community institution', 'several community', 'traditional community', 'community institution', 'built environment']"
4,121,"['urban sustainable structure', 'historic Islamic city', 'Islamic city', 'sustainable vernacular city', 'urban structure']","['many traditional house', 'historic Islamic city', 'sustainable vernacular city', 'urban sustainable structure', 'modern European style']"
5,129,"['traditional architecture', 'traditional urban settlement', 'architecture', 'urban settlement', 'new housing development']","['traditional urban settlement', 'important design criterion', 'forthcoming transition device', 'new housing development', 'formal analysis result']"
6,201,"['urban cultural landscape', 'modern city centre', 'modern city', 'urban planning', 'cultural landscape']","['official urban planning', 'monumental cultural landscape', 'recognisable urban area', 'urban cultural landscape', 'urban planning ignores']"
7,205,"['sustainable traditional market', 'cultural sustainable market', 'sustainable market', 'Traditional market', 'Nowadays sustainable development']","['effective sustainable development', 'current traditional market', 'appropriate sustainable solution', 'sustainable traditional market', 'cultural sustainable market']"
8,226,"['healthy life expectancy', 'geriatric care', 'frailty prevention', 'frailty prevention measure', 'Japanese medicine']","['sufficient medical care', 'medical care system', 'multidisciplinary medical guideline', 'comprehensive medical care', 'medical treatment system']"
9,238,"['Cubic stone street', 'Elisabetin neighbourhood monument', 'stone pavement', 'cubic stone pavement', 'neighbourhood monument area']","['fourteen cubic stone', 'fourteen historic street', 'Elisabetin interwar neighbourhood', 'Cubic stone street', 'Elisabetin neighbourhood monument']"
10,244,"['typological analysis method', 'Typology method', 'typology', 'Typological Analysis', 'city identity']","['different cultural value', 'agricultural city feature', 'industrial city feature', 'wide literature search', 'typological analysis method']"
11,264,"['traditional Anatolian citadel', 'Anatolian citadel', 'urban structure', 'traditional urban form', 'architectural form']","['distinct architectural form', 'Imperial Ottoman period', 'traditional urban form', 'traditional urban street', 'traditional Anatolian citadel']"
12,268,"['Balinese architecture', 'urban cultural identity', 'urban design', 'urban design process', 'urban space']","['urban spatial arrangement', 'urban cultural identity', 'urban design process', 'Indonesian planning system', 'urban design']"
13,269,"['urban morphology', 'cultural heritage district', 'urban design', 'heritage district', 'urban design enhancement']","['harsh climatic condition', 'old city center', 'historic preservation effort', 'public place today', 'cultural heritage district']"
14,294,"['city identity', 'urban development', 'architectural identity', 'downtown urban development', 'urban design']","['strong positive linear', 'downtown urban development', 'physical urban environment', 'specific architectural style', 'innovative architectural concept']"
15,298,"['traditional city', 'urban form configuration', 'Kurdish city', 'urban form', 'city']","['overall spatial principle', 'urban form configuration', 'result present evidence', 'urban form', 'present evidence']"
16,302,"['vernacular architecture', 'traditional rural home', 'building material', 'stone masonry', 'large house']","['traditional rural home', 'rural home', 'rural house', 'local material', 'modern material']"
17,319,"['Architectural conservation', 'architectural heritage', 'local architectural heritage', 'architecture', 'heritage']","['American cultural anthropologist', 'local architectural heritage', 'conscious action towards', 'action towards conservation', 'conscious action']"
18,324,"['Jagalchi Market building', 'Market building', 'historic seafood market', 'Market Modernization project', 'Market modernization']","['significant historic place', 'Jagalchi Market building', 'various market revitalization', 'historic seafood market', 'market revitalization programme']"
19,330,"['Wind flow prediction', 'Wind flow', 'urban building complex', 'urban building', 'wind field']","['unique Taiwan street', 'open comfortable space', 'Taiwan street culture', 'urban building complex', 'computational fluid dynamic']"
20,344,"['Modern house type', 'traditional house type', 'house improvement', 'traditional house', 'house improvement process']","['early republican period', 'many different civilization', 'traditional house type', 'Modern house type', 'new spatial fiction']"
21,347,"['modern architecture', 'architectural form', 'Modern Movement heritage', 'architecture', 'old structure']","['many valuable building', 'Modern Movement heritage', 'strong tendency today', 'strong tendency', 'Movement heritage']"
22,349,"['architectural style', 'urban planning', 'Architecture', 'Persian community', 'people culture']","['great literary work', 'century Lunar calendar', 'human life environment', 'Lunar calendar', 'literary work']"
23,350,"['urban planning', 'architecture', 'Islamic world', 'architectural work', 'Iranian nation']","['early seventh century', 'valuable treasure trove', 'seventh century', 'valuable treasure', 'treasure trove']"
24,361,"['urban transformation', 'implemented urban transformation', 'urban transformation implementation', 'urban transformation project', 'urban transformation policy']","['implemented urban transformation', 'usual daily life', 'palimpsest urban space', 'silinemeyen insan izleri', 'inaccurate political decision']"
25,362,"['Arabian Gulf city', 'Gulf city', 'urban identity', 'Bahrain', 'urban healing agenda']","['Arabian Gulf city', 'qualitative research approach', 'governmental institution today', 'urban healing agenda', 'Gulf city']"
26,365,"['architecture', 'architectural difference', 'architecture object', 'city shape', 'culture']","['symbolic meaning', 'architectural difference', 'following conclusion', 'social organization', 'limited resource']"
27,371,"['traditional urban scene', 'urban design', 'Australian architecture', 'urban renewal', 'modern city']","['commercial pedestrian street', 'traditional urban scene', 'modern city begin', 'urban design group', 'pedestrian street']"
28,384,"['cartographic information', 'satellite image processing', 'geomatics technology', 'cartographic data', 'urban planning']","['high spatial resolution', 'last cartographic information', 'cartographic data base', 'geometric control point', 'data base support']"
29,395,"['housing pattern', 'Housing provision', 'Housing provision mechanism', 'housing', 'ismailia project']","['new development scheme', 'new development part', 'local community condition', 'original target population', 'Housing provision mechanism']"
