No,DocId,key-phrases,key-phrases-rake
1,151,"['city culture', 'urban study', 'urban governance', 'city', 'Everyday milieux']","['Everyday milieux', 'comparative investigation', 'social science', 'implicit assumption', 'different light']"
2,236,"['cultural interaction', 'Russian student', 'social relation', 'cultural system', 'inter cultural dialogue']","['single educational environment', 'special social group', 'inter cultural dialogue', 'joint educational environment', 'Chinese student structure']"
3,237,"['urbanised space', 'urbanised environment', 'Adaptable city', 'urban public space', 'contemporary city']","['urban public space', 'perfect living environment', 'perfect living', 'public space', 'Global space']"
4,271,"['tourism destination', 'tourist destination', 'urban design', 'tourism', 'proposed urban design']","['proposed urban design', 'perceive edible flower', 'urban design project', 'historical city center', 'senior museum administrator']"
5,306,"['earthquake disaster prevention', 'disaster prevention awareness', 'disaster prevention', 'earthquake disaster', 'seismic culture']","['high local seismicity', 'immersive virtual reality', 'Vrancea seismic zone', 'active individual attitude', 'severe earthquake effect']"
6,308,"['sustainable urban design', 'sustainable design assessment', 'design sustainable assessment', 'urban transformation', 'urban design']","['main urban design', 'spectacular public culture', 'sustainable urban design', 'main critical decision', 'sustainable key factor']"
7,328,"['urbanity understood', 'new urbanity', 'everyday urbanism', 'cultural urban study', 'cultural urban']","['traditional spatial pattern', 'experimental urban farm', 'social local activity', 'advanced communication technology', 'cultural urban study']"
8,334,"['sustainable urban environment', 'urban environment', 'landscape design', 'sustainable environment', 'human environment']","['sustainable urban environment', 'urban environment', 'sustainable environment', 'human environment', 'artificial environment']"
9,373,"['Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature']","['different indigenous knowledge', 'undesirable environmental consequence', 'indigenous knowledge feature', 'Indigenous knowledge refers', 'source Indigenous knowledge']"
10,380,"['Change management project', 'project management', 'management project', 'project manager', 'Change management']","['culture organizational culture', 'good project manager', 'Change management project', 'organizational culture', 'good project']"
11,387,"['long beach', 'wide beach', 'Angeles basin', 'Los Angeles basin', 'beach']","['Los Angeles basin', 'diverse cultural group', 'Angeles basin', 'cultural group', 'wide beach']"
12,393,"['Tokyo life', 'contemporary urban life', 'urban environment', 'urban life', 'city']","['contemporary urban life', 'small business sector', 'small business', 'urban life', 'Tokyo life']"
