No,DocId,key-phrases,key-phrases-rake
1,15,"['cultural economy', 'art social milieu', 'cultural economic development', 'New York culture', 'cultural amenity']","['key social mechanism', 'active cultural milieu', 'urban economic development', 'cultural economic development', 'New York culture']"
2,22,"['cultural production', 'Art', 'redevelopment', 'economic development', 'subculture']","['economic development', 'active cultivation', 'central part', 'several discrete', 'interrelated lens']"
3,24,"['urban regeneration', 'urban design technique', 'wider cultural regeneration', 'urban design', 'urban development']","['specific cultural quarter', 'environmental improvement scheme', 'public art help', 'wider cultural regeneration', 'urban design technique']"
4,33,"['regional entrepreneurial ecosystem', 'regional innovation', 'regional economic development', 'entrepreneurial ecosystem', 'knowledge spillover']","['regional economic development', 'regional entrepreneurial ecosystem', 'economic development', 'entrepreneurial ecosystem', 'regional innovation']"
5,48,"['creative waterfront renewal', 'urban regeneration', 'Creative city', 'Urban history', 'waterfront renewal']","['particular local characteristic', 'local development strategy', 'emblematic case study', 'creative waterfront renewal', 'local characteristic']"
6,59,"['cultural industry metropolis', 'cultural industry', 'culture hub', 'urban planning', 'knowledge creation']","['dynamic creative hub', 'many characteristic typical', 'cultural industry metropolis', 'creative hub', 'characteristic typical']"
7,79,"['place branding', 'branding campaign', 'cultural planning', 'branding', 'authentic cultural element']","['possible key feature', 'authentic cultural element', 'leisure consumption industry', 'link cultural manager', 'coherent communication system']"
8,81,"['Lille experience', 'Lille métropole', 'urban development', 'metropolitan development strategy', 'cultural development']","['industrial conversion process', 'metropolitan development strategy', 'industrial conversion', 'urban development', 'cultural development']"
9,96,"['new creative cluster', 'creative industry', 'creative cluster', 'impressive creative cluster', 'industrial park']","['impressive creative cluster', 'new creative cluster', 'state bureaucratic power', 'creative cluster', 'bureaucratic power']"
10,149,"['community art', 'cultural participation', 'cultural participation contribute', 'cultural expression', 'cultural institution']","['formal professional art', 'formal cultural presentation', 'American Assembly meeting', 'large cultural institution', 'commercial retail establishment']"
11,184,"['Urban branding', 'product luxury place', 'product experience', 'urban experience', 'urban regeneration project']","['entire territorial system', 'existent place identity', 'high quality product', 'new place identity', 'product luxury place']"
12,200,"['creative economy sector', 'creative economy', 'city development', 'Art', 'Cultural activity']","['new social innovation', 'old certainty crumble', 'dramatic digitization dynamic', 'signifi cant role', 'signifi cant element']"
13,211,"['creative city', 'contemporary city', 'cultural production', 'creative externality', 'gentrification']","['diverse theoretical contribution', 'city good place', 'good place', 'theoretical contribution', 'creative city']"
14,223,"['urban design', 'appropriate urban design', 'public art', 'urban landscape', 'urban space']","['recent major project', 'appropriate urban design', 'inner city area', 'major project', 'inner city']"
15,281,"['smart creative city', 'creative city', 'urban renaissance', 'Urban Regeneration Policy', 'urban regeneration']","['Richard Florida delivers', 'smart creative city', 'descriptive case study', 'Urban Regeneration Policy', 'urban regeneration process']"
16,339,"['Cultural planning', 'planning culture', 'city culture', 'urban design', 'creative city']","['single grand theory', 'economic resource planning', 'definitional difference evident', 'planner withcomplex notion', 'resource planning system']"
17,342,"['contemporary creative placemaking', 'Creative placemaking', 'placemaking', 'creative people', 'art center']","['contemporary creative placemaking', 'single art center', 'economic development outcome', 'single art', 'economic development']"
18,377,"['European Capital', 'Liverpool', 'cultural heritage', 'urban geography', 'Capital']","['significant contemporary development', 'shared cultural heritage', 'contemporary development', 'cultural heritage', 'European Capital']"
