No,DocId,key-phrases,key-phrases-rake
1,37,"['private transport', 'private transport service', 'public transport', 'transport service', 'transport infrastructure']","['future MaaS development', 'different analytical level', 'MaaS business model', 'multiple case study', 'appropriate business model']"
2,42,"['urban design', 'careful traffic', 'urban environment', 'traffic behaviour', 'traffic infrastructure']","['attractive urban environment', 'standard traffic infrastructure', 'standard traffic', 'urban environment', 'careful traffic']"
3,55,"['transit village', 'public transit system', 'urban public transit', 'Urban planning', 'new transit hubs']","['Souq Waqif station', 'Souq Waqif area', 'urban public transit', 'public transit system', 'new transit hubs']"
4,70,"['sustainable transportation', 'unsustainable transportation', 'intercity public transportation', 'electric vehicle', 'transportation']","['intercity public transportation', 'many valuable addition', 'deliberative public involvement', 'New case study', 'show global exemplar']"
5,119,"['sustainable active mobility', 'sustainable mobility', 'walking mindset', 'walking culture', 'awareness campaign strategy']","['developed SD model', 'unified integrated approach', 'specific key stage', 'sustainable active mobility', 'SD model exhibit']"
6,139,"['urban design', 'urban design practice', 'urban design today', 'public space', 'public behaviour']","['urban design today', 'urban design practice', 'interaction amongst stranger', 'positive interaction need', 'social condition people']"
7,145,"['international walkability research', 'walkability research', 'walkability research agenda', 'fivefold international walkability', 'walkability']","['fivefold international walkability', 'international walkability research', 'urban design intervention', 'responsible funding program', 'walkability research agenda']"
8,158,"['rural settlement potential', 'rural settlement', 'Smart settlement', 'settlement organization', 'urban area']","['new business model', 'rural settlement potential', 'rural settlement', 'new business', 'Smart settlement']"
9,168,"['chosen public space', 'public space', 'privacy need', 'privacy', 'urban design']","['chosen public space', 'new urban design', 'public space', 'urban design', 'urban life']"
10,178,"['neighborhood design concept', 'urban neighborhood design', 'neighborhood urban design', 'theoretical urban neighborhood', 'new neighborhood design']","['theoretical urban neighborhood', 'poor social capital', 'heterogeneous functional space', 'resilient urban community', 'urban neighborhood design']"
11,189,"['urban space', 'Public space', 'urban planning', 'urban life', 'anatolian city']","['small anatolian city', 'Anadolu kenti incelemesi', 'small Anatolian town', 'utilize prior knowledge', 'historic city center']"
12,196,"['microcosmic city', 'population density', 'urban development', 'land use', 'land use policy']","['interesting conceptual framework', 'many practical purpose', 'physical world interaction', 'microcosmic world space', 'land use policy']"
13,207,"['Smart City concept', 'smart city', 'City concept', 'Sustainable social innovation', 'urban planning']","['Sustainable social innovation', 'efficient urban mobility', 'different essential definition', 'current global situation', 'Smart City concept']"
14,230,"['vehicle choice model', 'vehicle use', 'vehicle choice', 'vehicle type choice', 'developed vehicle choice']","['Cincinnati metropolitan area', 'different urban area', 'overall sustainable planning', 'developed vehicle choice', 'vehicle choice model']"
15,241,"['vibrant city', 'talaat harb street', 'rich urban culture', 'urban culture', 'revitalization']","['rich urban culture', 'daily affect chaos', 'various culture living', 'high immigration rate', 'talaat harb street']"
16,247,"['everyday urban function', 'urbanity', 'place theory', 'urban function', 'movement infrastructure']","['simple clear grid', 'Amsterdam metropolitan area', 'new regional city', 'everyday urban function', 'distinct modality environment']"
17,255,"['transit infrastructure', 'urban mass transit', 'mass transit', 'transit', 'TOD design']","['foreign TOD model', 'successful TOD case', 'urban land utilization', 'urban mass transit', 'regional culture differ']"
18,266,"['decentralizing urbanization', 'size city', 'energy intensive development', 'medium size city', 'urbanization']","['total economic requirement', 'intensive development pattern', 'efficient development pattern', 'energy intensive development', 'medium size city']"
19,277,"['sustainable mobility', 'sustainable mobility strategy', 'sustainable neighbourhood road', 'sustainable transportation', 'urban mobility']","['outdoor open space', 'environmental design standard', 'unique urban structure', 'sustainable neighbourhood street', 'sustainable neighbourhood road']"
20,322,"['smart city', 'urban planning', 'governance', 'governance practice', 'public policy strategy']","['real business result', 'public policy strategy', 'talent retention strategy', 'real business', 'public policy']"
21,323,"['smart city', 'ICT enable indicator', 'city transformation', 'urban area', 'city']","['certain key parameter', 'ICT enable indicator', 'key parameter', 'enable indicator', 'smart city']"
22,331,"['urban landscape', 'urban planning', 'local society', 'elderly people', 'community']","['livable place', 'exceptional place', 'demographic change', 'urban planning', 'new way']"
23,356,"['urban rail corridor', 'urban rail', 'Several commuter rail', 'rail corridor', 'commuter rail']","['diesel multiple unit', 'Several commuter rail', 'heavy rail system', 'urban rail corridor', 'heavy load requirement']"
24,390,"['public transport company', 'public transport', 'activity centre', 'transport service', 'transport company']","['large attraction park', 'public transport company', 'good information sharing', 'public transport', 'large attraction']"
