No,DocId,key-phrases,key-phrases-rake
1,2,"['urban green space', 'natural environment', 'restorative environment', 'green space', 'city planning perspective']","['urban green space', 'public mental health', 'city planning perspective', 'green space', 'mental health']"
2,3,"['urban landscape', 'urban environment', 'outdoor urban environment', 'Urban Planning contribution', 'provide nature']","['outdoor urban environment', 'nearby natural environment', 'Urban Planning contribution', 'natural environment play', 'offer strong support']"
3,8,"['transdisciplinary landscape research', 'different landscape concept', 'landscape research', 'landscape concept', 'transdisciplinary landscape concept']","['new complex concept', 'transdisciplinary landscape concept', 'different landscape concept', 'concept exist side', 'transdisciplinary landscape research']"
4,9,"['environmental aesthetic', 'pure environmental aesthetic', 'landscape taste', 'scenic landscape', 'aesthetic']","['local environmental planning', 'pure environmental aesthetic', 'century European tradition', 'historical period surprising', 'human mind work']"
5,12,"['ecology', 'behavioral landscape preference', 'arcadian landscape', 'nature', 'landscape']","['behavioral landscape preference', 'landscape type preference', 'behavioral landscape', 'landscape preference', 'type preference']"
6,40,"['cultural ecosystem service', 'urban green space', 'cultural ecosystem', 'ecosystem service', 'cultural service']","['current cultural service', 'diverse cultural value', 'urban green space', 'cultural ecosystem service', 'cultural service']"
7,53,"['urban green landscape', 'green space designing', 'urban green space', 'green landscape', 'preferred flower']","['leafy ornamental plant', 'first top rank', 'urban green space', 'public open space', 'urban green landscape']"
8,58,"['riparian landscape', 'riparian management', 'riparian area', 'cultural sustainability', 'Ecological sustainability']","['care towards diversity', 'care towards', 'towards diversity', 'cultural sustainability', 'Ecological sustainability']"
9,63,"['stonewall tree', 'Mature urban tree', 'Community attachment', 'urban development', 'old masonry']","['Hong Kong people', 'Mature urban tree', 'old masonry wall', 'compact city milieu', 'old masonry']"
10,87,"['public space varies', 'public open space', 'public space', 'healthy urban environment', 'urban development']","['Many urban theorist', 'healthy urban environment', 'public open space', 'public space varies', 'place high value']"
11,95,"['green space assessment', 'urban green space', 'green space use', 'green space', 'green space type']","['urban green space', 'previous European study', 'green space use', 'green space assessment', 'green space user']"
12,180,"['fMRI', 'brain region activity', 'neuroscience', 'brain region', 'brain']","['similar interdisciplinary effort', 'exciting interdisciplinary effort', 'exciting epistemological step', 'present commentary aim', 'Modern neuroscience method']"
13,203,"['immense landscape park', 'landscape park', 'landscape park area', 'Historic landscape', 'tourist attraction']","['related PhD dissertation', 'immense landscape park', 'towards rural culture', 'landscape park area', 'immense landscape']"
14,250,"['landscape designing', 'landscape significance', 'landscape symbol', 'landscape perception', 'landscape']","['experienced aesthetic object', 'relevant cultural background', 'experience foe people', 'aesthetic object', 'foe people']"
15,310,"['open public space', 'public square case', 'public open space', 'new public space', 'public square']","['open public space', 'public open space', 'new public space', 'major constituent element', 'local climatic context']"
