No,DocId,key-phrases,key-phrases-rake
1,100,"['Mesoamerican timekeeping', 'Mesoamerican religious imagery', 'Mesoamerican calendar', 'ancient mesoamerica', 'Aztec culture']","['understanding ancient culture', 'Mesoamerican religious imagery', 'critical role astronomy', 'architectural alignment study', 'critical role']"
2,132,"['favela Morro da', 'favelas', 'favela', 'Urban afforestation', 'urbanized area']","['significant environmental change', 'favela Morro da', 'inhabit urban area', 'environmental change', 'Morro da']"
3,134,"['bridge architecture', 'many urban bridge', 'architecture', 'urban bridge', 'important infrastructure']","['many urban bridge', 'spectacular new implementation', 'available research method', 'urban bridge', 'available research']"
4,159,"['wood construction', 'wood construction field', 'totora productivity', 'construction material', 'wood']","['high aesthetic value', 'canprovide important contributionsto', 'contemporary construction field', 'tall building structure', 'contemporary building industry']"
5,183,"['ecodevelopment', 'ecological spatial planning', 'environmental spatial planning', 'Sustainable development', 'environmental crisis']","['ecological spatial planning', 'environmental spatial planning', 'current development model', 'spatial planning', 'current development']"
6,186,"['Chinese architecture', 'landscape architecture', 'architecture', 'geography', 'natural geographic environment']","['certain cultural connotation', 'unique visual angle', 'natural geographic environment', 'cultural connotation', 'visual angle']"
7,240,"['natured city', 'urban national park', 'urban conservation', 'park creation', 'urban conservation model']","['urban national park', 'urban conservation model', 'national park', 'urban conservation', 'many park']"
8,287,"['heritage management', 'intangible heritage perspective', 'heritage perspective', 'heritage element', 'World Heritage Convention']","['World Heritage Convention', 'outstanding universal value', 'historic colonial centre', 'colonial Spanish city', 'intangible heritage perspective']"
9,293,"['Vernacular Architecture', 'bamboo fishing raft', 'sustainable tourism', 'Songkram river', 'Architecture']","['unique local fishery', 'local fishery raft', 'heritage local wisdom', 'Songkram river basin', 'new design concept']"
10,300,"['Ecotourism', 'cultural heritage', 'sustainable tourism', 'tourism', 'surrounding landscape']","['following main equipment', 'rapid decay process', 'rapid decay', 'main equipment', 'decay process']"
11,305,"['Chilean architect', 'Architectural culture', 'architecture', 'modern architecture', 'architectural competition']","['South American continent', 'hard natural condition', 'American continent thanks', 'new cultural function', 'first winter expedition']"
12,386,"['civil engineering history', 'civil engineer construct', 'century suspension bridge', 'meter bridge', 'suspension bridge']","['construct seventh century', 'seventh century suspension', 'ceremonial urban center', 'civil engineer construct', 'civil engineering history']"
