cluster,group,count,key-phrase
1,-1,48,"['place sentiment', 'cultural ecosystem service', 'cultural ecosystem', 'ecosystem service assessment', 'visual quality', 'perceived visual quality', 'experienced urban designer', 'environmental sensor', 'public space', 'street quality', 'urban planning practice', 'urban identity', 'sociodemographics', 'urban valuation estimation', 'urban valuation', 'urban scene data', 'property assessment', 'land value', 'advertising construction', 'detected advertising object', 'Outdoor advertising', 'advertising object', 'safety perception', 'auditory perception map', 'urban vitality feature', 'urban street vitality', 'real estate search', 'spatial concept', 'complex urban environment', 'visual image interpretation', 'big data', 'City safety perception', 'people safety perception', 'safety perception model', 'Safety perception measurement', 'architectural color icon', 'architectural color', 'color icon creation', 'color icon', 'Holistic visual data', 'street space', 'streetscape view index', 'urban amenity', 'city planning', 'public space management', 'spatial evaluation', 'environmental evaluation', 'urban public space']"
1,0,16,"['deep learning model', 'deep learning', 'machine learning', 'signal processing', 'feature selection', 'decision tree', 'Feature extraction', 'random forest', 'random forest classifier', 'image recognition', 'Random Forest model', 'morphological feature', 'quantitative morphological description', 'machine learning method', 'classification', 'Machine learning model']"
1,1,10,"['human physiological change', 'subjective perception', 'perception', 'perceptual variable', 'heterogeneous perception', 'perception map', 'human perception', 'mapping', 'sentiment', 'environment perception']"
1,2,13,"['soundscape classification model', 'soundscape classification', 'urban soundscape evaluation', 'comprehensive urban soundscape', 'urban soundscapes', 'soundscape assessment', 'urban soundscape mapping', 'soundscape mapping', 'urban soundscape', 'future soundscape mapping', 'auditory perception', 'auditory data', 'auditory landscape']"
1,3,15,"['streetscape', 'visible street greenery', 'urban greenery', 'accessed street greenery', 'street greenery', 'street renewal', 'efficient street renewal', 'street', 'sidewalk design', 'sidewalk', 'sidewalk segment', 'urban street landscape', 'crowdsourced street', 'Street design', 'streetscape improvement']"
1,4,16,"['street view', 'street view image', 'nature photograph', 'social medium photograph', 'Street View imagery', 'crowdsourcing game', 'street imagery data', 'street imagery', 'large street imagery', 'satellite image', 'google map', 'crowdsourced street view', 'street image evaluation', 'street space image', 'street image', 'streetscape view']"
1,5,15,"['urban visual experience', 'city appearance', 'urban design quality', 'urban perception datasets', 'urban perception assessment', 'urban perception derivation', 'urban perception', 'local urban perception', 'urban visual environment', 'urban space quality', 'streetscape perception', 'urban scene quality', 'urban landscape perception', 'visitor experience', 'urban environment perception']"
1,6,7,"['landscape', 'landscape design', 'landscape architecture system', 'landscape architecture', 'landscape architecture art', 'garden landscape', 'architectural beauty']"
1,7,7,"['street walkability', 'pedestrian landscape', 'pedestrian environment', 'good pedestrian landscape', 'pedestrian space', 'perceived walkability', 'walkability']"
1,8,16,"['new urban data', 'Urban data', 'urban sociology', 'urban analytics', 'geospatial data', 'geospatial data collection', 'conventional urban data', 'urban analysis', 'urban data source', 'urban research', 'urban public life', 'data', 'city census', 'city census information', 'urban research method', 'established urban research']"
1,9,16,"['urbanising city', 'urban environment', 'urban space', 'city', 'city life', 'urban scene', 'French neighbourhood', 'neighbourhood', 'neighborhood', 'City safety', 'Shanghai city', 'residential urban environment', 'urban context', 'urban area', 'urban location', 'different urban location']"
1,10,7,"['urban landscape', 'mediatized urban heritage', 'urban heritage', 'historical urban landscape', 'historical preservation', 'historical site', 'tourism']"
1,11,14,"['urban design', 'urban planning', 'new urban pattern', 'urban pattern', 'Digital excavation', 'complex urban feature', 'intricate urban matrix', 'urban feature', 'urban modelling', 'Urban morphological feature', 'urban morphology contributes', 'urban morphology', 'urban planning policy', 'urban design strategy']"
