cluster,group,count,key-phrase
-1,-1,306,"['watershed soil erosion', 'soil erosion', 'urban landscape', 'foursquare', 'Foursquare place category', 'urban scale energy', 'AI approach urban', 'land dynamic modeling', 'land dynamic', 'urban structure type', 'geodemographic classification', 'geographical space', 'region extraction', 'robotic system', 'urban form', 'Street View image', 'urban space', 'street view', 'urban environment', 'street view pattern', 'health hazard forecasting', 'intelligent information', 'urban area extraction', 'area extraction', 'urban habitat', 'sustainable travel', 'environment determinant', 'desirable environmental benefit', 'environment factor', 'restaurant data', 'urban neighborhood', 'timely socioeconomic data', 'neighborhood level', 'hotspot analysis', 'urban system', 'streetscapes', 'urban function', 'impact pedestrian activity', 'local pedestrian activity', 'influence pedestrian activity', 'pedestrian behavior modeling', 'urban walkability', 'Accurate road extraction', 'road extraction method', 'learning car detection', 'big geodata analysis', 'route planning', 'big geodata', 'automated deprivation mapping', 'deprivation area', 'heterogeneous deprivation area', 'burnt catchment', 'tourism research', 'semantic address matching', 'address matching', 'address match', 'unstructured address data', 'unstructured address record', 'urban agglomeration scale', 'ideal urban form', 'urban feature', 'participatory urban planning', 'landslide hazard', 'city service dimension', 'green infrastructure', 'fuzzy inference', 'XGBoost classification', 'business zone', 'intelligent classification', 'automatic classification', 'government knowledge graph', 'Kadaster knowledge graph', 'knowledge graph', 'Positive deviance', 'positive deviance face', 'gaze analysis system', 'Visual gaze analysis', 'gaze analysis', 'gaze vector', 'Visual gaze', 'spacescapes', 'outdoor townscapes', 'body mass index', 'obesity', 'body mass', 'Spatiotemporal modeling', 'urban functional zoning', 'traffic data', 'collaborative city planning', 'collaborative city', 'integrated tourism planning', 'tourism planning', 'integrated tourism', 'semantic image classification', 'evolutionary urban layout', 'predictive model', 'city image dimension', 'city image', 'rockfall hazard assessment', 'comprehensive rockfall hazard', 'rockfall hazard', 'rockfall kinematic model', 'rockfall probability', 'inclusive planning', 'text mining', 'geography', 'construction sector', 'fuzzy set', 'information system', 'image descriptor', 'intelligence urban model', 'urban dynamic process', 'land dynamic modelling', 'urban dynamic', 'unstructured data', 'civic participation platform', 'civic demand', 'usable floor area', 'urban environmental problem', 'floor area', 'urban design plan', 'urban scale plan', 'Structural health monitoring', 'health monitoring installation', 'health monitoring', 'Health Monitoring utility', 'cityscape', 'wearable fall detection', 'fall detection', 'human fall detection', 'fall detection system', 'automatic wearable fall', 'development plan', 'online educational game', 'intelligent city construction', 'intelligence inference layer', 'Geographical measure', 'place detection', 'commercial district discovery', 'unsupervised commercial district', 'district discovery framework', 'swarm intelligence', 'unmanned aerial vehicle', 'dynamic flight plan', 'building footprint', 'urban fabric', 'floor height', 'typology', 'KNN algorithm', 'Livelihood orientation', 'learned embeddings', 'embeddings', 'flow prediction', 'blockchain', 'cellular automata', 'spatial planning', 'artificial urban environment', 'safer parking', 'good urban form', 'UAVs device', 'electricity theft', 'urban waterlogging', 'land price prediction', 'urban land price', 'land price distribution', 'Safe city', 'urban community life', 'former industrial waterfront', 'location data', 'geolocated dataset', 'understand urban dynamic', 'urban livability', 'urban complex system', 'travel survey data', 'urbanity', 'intrusion detection method', 'crowdsensed datasets', 'available crowdsensed datasets', 'urban decision', 'location category', 'city region partitioning', 'scenic beauty', 'Flickr image', 'geographical insight', 'query engine', 'word embedding', 'urban simulation', 'city configuration', 'unseen city configuration', 'video surveillance', 'person detection method', 'video surveillance system', 'smart mobility', 'architectural practice', 'susceptibility prediction', 'reasoning layer', 'virtual city environment', 'virtual city', 'complex urban environment', 'architectural form', 'ensemble network', 'stacking ensemble model', 'prediction importance level', 'prediction importance', 'urban system management', 'effective urban system', 'decision support system', 'grid', 'geodemographic classification development', 'urban decision making', 'geodemographics', 'corporate network', 'regional planning', 'popular place', 'smartphones locational request', 'building reconstruction', 'disaster risk', 'disaster risk management', 'natural hazard risk', 'urban planning machine', 'geospatial big data', 'urban environmental study', 'italian regional science', 'modern regional science', 'regional science', 'area', 'participatory planning', 'requirement engineering', 'suitable requirement engineering', 'requirement engineering perspective', 'AV development', 'GIS big data', 'extreme learning machine', 'urban service', 'mainstream urban model', 'mobile computing', 'computing', 'city operation system', 'city operation', 'urban safety', 'unsupervised learning', 'urban future scenario', 'Urban Future', 'recognition', 'machine', 'linear regression', 'urban health', 'neighborhood', 'understanding urban space', 'Yelp hierarchical dataset', 'Urban population distribution', 'intelligence', 'human intelligence', 'urban street network', 'region embeddings', 'intelligent unmanned technology', 'unmanned technology', 'aerial vehicle', 'street imagery', 'sensed land cover', 'express service', 'generative urban network', 'urban warfare operation', 'complex system', 'machine learning hyperparameter', 'learning hyperparameter', 'particle swarm optimization', 'swarm optimization method', 'swarm optimization', 'particle swarm', 'Public transportation accessibility', 'transportation accessibility', 'GIS spatial analysis', 'geospatial technique', 'placeness', 'starbucks post', 'multidimensional livability', 'livability management', 'multidimensional livability index', 'livability index', 'livability', 'statistical spatial test', 'area size', 'manufacturing industry', 'industry', 'geospatial energy', 'geospatial anthropogenic energy', 'imbalanced datasets', 'distance metric learning', 'metric learning', 'similarity computation', 'intelligent taxi', 'census data', 'workshop', 'paper', 'traditional architecture', 'ancient business town', 'eastern civilization', 'automatic simulation model', 'simulation model generation', 'simulation model', 'computer simulation', 'townscapes', 'workflow management system', 'workflow management', 'similarity information maintenance']"
-1,0,12,"['common wild bee', 'solitary bee', 'bee', 'Dengue disease dynamic', 'Dengue dynamic', 'mosquito occurrence', 'dengue incidence', 'mosquito development', 'effective mosquito control', 'mosquito control', 'effective mosquito', 'mosquito']"
-1,1,10,"['automated vacuum waste', 'waste collection optimization', 'vacuum waste collection', 'urban waste disposal', 'waste collection', 'fecal sludge management', 'sludge management', 'sludge management solution', 'fecal sludge', 'sludge']"
-1,2,11,"['automobile choice', 'household automobile choice', 'vehicle choice problem', 'household vehicle choice', 'vehicle choice', 'vehicle selection algorithm', 'driver car', 'vehicle ownership', 'vehicle', 'car', 'Car Restriction Policy']"
-1,3,7,"['hyperspectral data', 'multispectral image', 'hyperspectral image classification', 'hyperspectral datasets', 'hyperspectral image', 'standard hyperspectral datasets', 'hyperspectral pixel']"
-1,4,9,"['satellite imagery', 'satellite image', 'Landsat satellite imagery', 'remote sensing', 'satellite remote sensing', 'earth observation', 'satellite', 'satellite segment', 'traditional satellite']"
-1,5,8,"['sar data', 'SAR feature', 'synthetic aperture radar', 'SAR image classification', 'SAR remote sensing', 'SAR image interpretation', 'SAR imagery', 'SAR image']"
-1,6,26,"['air quality', 'smog severity observation', 'Smog disaster', 'smog observation', 'smog severity', 'pollution detection', 'travel carbon emission', 'carbon emission assessment', 'environmental noise pollution', 'noise pollution', 'pollution level', 'environmental noise', 'pollution', 'air quality concern', 'air quality limitation', 'vehicle emission', 'road traffic noise', 'traffic noise', 'noise level', 'pollution quality prediction', 'air pollution measurement', 'influence air pollution', 'air pollution quality', 'airborne particulate matter', 'environmental monitoring', 'environmental monitoring task']"
-1,7,16,"['urban building energy', 'building energy simulation', 'building energy model', 'building energy consumption', 'energy usage pattern', 'energy usage', 'Building Energy Information', 'energy demand', 'energy consumption', 'Building energy', 'power utility', 'residential electric consumption', 'energy Storage', 'energy', 'geospatial energy consumption', 'energy consumption model']"
-1,8,13,"['electric load forecasting', 'electrical load forecasting', 'load forecasting', 'electrical load prediction', 'Load prediction', 'electricity consumption data', 'Energy consumption forecasting', 'electric consumption forecasting', 'accurate consumption forecasting', 'consumption forecasting', 'energy consumption prediction', 'consumption prediction', 'energy demand estimation']"
