1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
cover,0.005071501,114,36,5,land cover,0.0108755197,99,31,3,land cover,0.0108755197,99,31,3
segmentation,0.0031404177,46,20,3,change detection,0.0053804405,28,8,1,change detection,0.0053804405,28,8,1
extraction,0.0024838824,69,32,6,cover classification,0.0046118062000000005,24,8,1,cover,0.005071501,114,36,5
imagery,0.0024478841,68,37,6,image classification,0.0044873603,32,19,2,cover classification,0.0046118062000000005,24,8,1
cloud,0.0021786915,25,9,2,point cloud,0.004227489,22,7,1,image classification,0.0044873603,32,19,2
image,0.0019522103000000001,251,83,11,building detection,0.0032666960000000004,17,7,1,point cloud,0.004227489,22,7,1
expansion,0.0018359131,51,17,6,satellite image,0.0030022485,34,22,4,building detection,0.0032666960000000004,17,7,1
remote,0.0016384788000000001,24,13,3,semantic segmentation,0.0029448302,21,6,2,segmentation,0.0031404177,46,20,3
detection,0.0016264558,95,31,9,urban land,0.0028962576,50,18,6,satellite image,0.0030022485,34,22,4
change,0.0015391148000000001,126,32,10,land use,0.0027273389,99,31,9,semantic segmentation,0.0029448302,21,6,2
settlement,0.0015019389,22,8,3,building extraction,0.0026902203,14,7,1,urban land,0.0028962576,50,18,6
population,0.0014466783,64,24,8,classification accuracy,0.0023841385000000002,27,15,4,land use,0.0027273389,99,31,9
mapping,0.0013562609,60,30,8,sensing image,0.0023841385000000002,27,13,4,building extraction,0.0026902203,14,7,1
surface,0.0013346055,30,20,5,aerial image,0.0023839101,17,7,2,extraction,0.0024838824,69,32,6
building,0.001307026,107,31,10,overall accuracy,0.0022191088000000003,31,23,5,imagery,0.0024478841,68,37,6
satellite,0.0011519455,32,27,6,deep learning,0.0020869483,45,23,7,classification accuracy,0.0023841385000000002,27,15,4
aperture,0.0010747738,9,8,1,cover change,0.0019632201,14,10,2,sensing image,0.0023841385000000002,27,13,4
dataset,0.001066389,37,22,7,satellite imagery,0.0018675135,17,14,3,aerial image,0.0023839101,17,7,2
vehicle,0.0010426441,19,11,4,cover map,0.0017294273,9,7,1,overall accuracy,0.0022191088000000003,31,23,5
land,0.0010248262,275,59,12,urban expansion,0.0015639791,27,10,6,cloud,0.0021786915,25,9,2
