group,count,key-phrases,NumDocs,DocIds
-1,302,"['hyperspectral image classification', 'hyperspectral imagery', 'hyperspectral image', 'land cover change', 'Landsat imagery', 'Landsat data', 'Landsat satellite data', 'building detection', 'automated building detection', 'building detection framework', 'building extraction', 'automated building', 'remote sensing', 'environmental impact analysis', 'evident environmental impact', 'land classification', 'environmental landscape attribute', 'land cover classification', 'sar data', 'SAR feature', 'land cover classification', 'SAR data', 'synthetic aperture radar', 'random forest', 'urbanization process', 'SVM modeling', 'SVM modeling framework', 'classification', 'scene classification algorithms', 'scene classification', 'support vector machine', 'SVM classifier', 'random forest', 'support vector machine', 'SVM classifier', 'Landsat data', 'heterogeneous landscape', 'automatic building detection', 'building detection', 'automatic building', 'lidar point cloud', 'point cloud labelling', 'urban point cloud', 'SAR image', 'synthetic aperture radar', 'urban point cloud', 'point cloud data', 'point cloud', 'satellite imagery', 'hyperspectral data', 'urban land cover', 'multispectral image', 'urban land cover', 'land cover change', 'change detection approach', 'change detection method', 'Change detection', 'traditional change detection', 'new change detection', 'Remote sensing', 'Sentinel datasets', 'urban growth', 'land use change', 'urban land use', 'Random Forests classification', 'Forests classification method', 'Forests classification', 'land use classification', 'land cover classification', 'Urban land cover', 'land cover classes', 'building detection', 'urban land use', 'land use change', 'SVM model', 'SVM model building', 'Landsat image', 'remote sensing', 'land change model', 'urban land use', 'land use transition', 'scene classification', 'road centerline extraction', 'Multiscale road centerline', 'urban land cover', 'urban land use', 'hyperspectral image classification', 'hyperspectral datasets', 'hyperspectral image', 'standard hyperspectral datasets', 'hyperspectral pixel', 'SAR imagery', 'extreme learning machine', 'deprivation mapping', 'automated deprivation mapping', 'urban deprivation', 'deprivation area', 'heterogeneous deprivation area', 'Road centerline extraction', 'complex road network', 'complete road network', 'complex road', 'road network', 'urban land use', 'land use category', 'land cover change', 'remote sensing technique', 'remote sensing', 'agricultural land', 'urbanization', 'point cloud classification', 'cloud classification', 'Aerial point cloud', 'point cloud', 'land cover classification', 'semantic segmentation', 'image semantic inpainting', 'semantic segmentation task', 'semantic inpainting', 'hyperspectral data', 'Hyperspectral image', 'tree specie classification', 'remote sensing', 'deep learning framework', 'land cover change', 'Land use change', 'LiDAR point cloud', 'landscape structural transformation', 'landscape structure', 'agricultural land', 'urbanization', 'SAR image classification', 'SAR remote sensing', 'SAR image interpretation', 'SAR imagery', 'SAR image', 'urban growth', 'urbanization rate', 'urban land cover', 'urban tree coverage', 'tree coverage', 'classification technique', 'urban growth', 'growth prediction', 'urban forest cover', 'urban forest', 'Random Forest machine', 'forest cover', 'forest', 'point cloud classification', 'building extraction', 'spatial pyramid pooling', 'distinguish building', 'classification model', 'classification', 'land use transformation', 'land use change', 'urban growth', 'Population spatialization', 'population mapping', 'random forest', 'population density', 'fake satellite image', 'Satellite image spoofing', 'fake satellite', 'fake datasets', 'UAV datasets', 'UAV data', 'satellite imagery', 'semantic segmentation', 'UAV photogrammetry', 'building extraction', 'building extraction accuracy', 'UAV image', 'satellite imagery', 'remote sensing image', 'deep framework', 'urban growth', 'urbanization', 'annual urbanization', 'mean annual urbanization', 'annual urbanization rate', 'cropland area', 'SAR image', 'random forest', 'synthetic aperture radar', 'Sentinel image', 'optical Sentinel image', 'land use classification', 'urban land use', 'land use category', 'classification map', 'satellite imagery', 'remote sensing', 'land use change', 'landscape diversity', 'landscape change', 'urban growth', 'unplanned urbanization', 'Land cover classification', 'UAV image', 'road centerline extraction', 'remote sensing', 'deep learning framework', 'fast building detection', 'building detection', 'building contour extraction', 'building detection', 'building extraction', 'classifier', 'classification method', 'Automatic building extraction', 'building footprint extraction', 'building extraction', 'LiDAR point cloud', 'point clouds segmentation', 'urban land use', 'land cover classification', 'remote sensing', 'population forecasting', 'Regional population forecast', 'type population forecasting', 'population forecast', 'forecasting', 'building extraction', 'support vector machine', 'remote sensing', 'change detection', 'remote sensing', 'refined spatial detail', 'semantic segmentation', 'road detection', 'road edge detection', 'hyperspectral system', 'lidar point cloud', 'construction material consumption', 'material consumption analysis', 'damage detection', 'damage detection system', 'bathymetry estimation', 'bathymetry measurement', 'bathymetry', 'Traditional bathymetry measurement', 'urban land use', 'land cover change', 'urban growth', 'population density', 'urban growth modeling', 'urban growth model', 'urban growth', 'video semantic segmentation', 'UAV aerial videos', 'semantic segmentation method', 'Semantic segmentation', 'semantic segmentation algorithms', 'random forest', 'linear regression', 'support vector machine', 'population mapping', 'Urban population distribution', 'population distribution map', 'Urban population', 'satellite imagery', 'scene image classifier', 'scene classification', 'fuzzy logic', 'fuzzy logic system', 'semantic segmentation', 'explainable semantic segmentation', 'Landsat satellite imagery', 'landcover classification', 'random forest', 'classification algorithm', 'urban intelligent navigator', 'intelligent navigator', 'drone', 'urban intelligent', 'urban land use', 'land use change', 'SAR mapping', 'airborne SAR mapping', 'SAR mapping approach', 'classification method', 'Land cover classification', 'multispectral satellite image', 'cover classification map', 'classification map', 'urban sprawl', 'change detection', 'change detection result', 'semantic segmentation', 'remote sensing image', 'Automatic semantic segmentation', 'support vector machine', 'Road detection', 'image classifier', 'SVM approach', 'industrial land recognition', 'inefficient industrial land', 'industrial land', 'land cover classification', 'agricultural land cover']",110,"[1, 2, 3, 17, 19, 20, 21, 25, 30, 31, 41, 53, 54, 56, 58, 61, 63, 64, 68, 71, 72, 74, 76, 77, 81, 84, 90, 96, 99, 100, 102, 105, 109, 110, 111, 112, 113, 126, 139, 144, 147, 148, 150, 156, 166, 171, 176, 178, 182, 186, 197, 202, 204, 211, 220, 223, 224, 228, 237, 238, 242, 249, 256, 292, 297, 300, 313, 324, 327, 332, 347, 361, 364, 378, 385, 389, 401, 428, 430, 431, 437, 439, 444, 450, 451, 455, 459, 465, 469, 471, 474, 485, 486, 488, 497, 503, 504, 506, 521, 532, 535, 537, 538, 540, 548, 564, 568, 575, 576, 580]"
0,25,"['LiDAR data', 'urban lidar', 'urban lidar point', 'Terrestrial laser scanner', 'LiDAR data', 'raw LiDAR data', 'LiDAR data set', 'airborne LIDAR data', 'LIDAR data', 'LIDAR data set', 'different LIDAR data', 'LIDAR data need', 'airborne LiDAR datasets', 'LiDAR datasets', 'airborne LiDAR point', 'LiDAR imagery', 'LiDAR data', 'LiDAR data', 'airborne LiDAR point', 'LiDAR data fusion', 'LiDAR data', 'classify LiDAR point', 'LiDAR data', 'airborne lidar', 'lidar']",10,"[20, 56, 61, 81, 137, 171, 401, 430, 451, 455]"
1,27,"['land cover', 'thematic land cover', 'land cover', 'land cover', 'land cover', 'land cover', 'surface land cover', 'land cover', 'land cover', 'land cover', 'land cover', 'Land cover', 'land cover extraction', 'greenery land cover', 'greenery auto extraction', 'greenery extraction method', 'land cover pattern', 'land cover', 'various land cover', 'land cover', 'land cover zone', 'land cover', 'land cover', 'use land cover', 'Land cover', 'land cover', 'land cover type']",17,"[30, 68, 77, 102, 113, 166, 176, 186, 245, 361, 382, 407, 437, 532, 539, 548, 580]"
2,60,"['new urban land', 'urban planning', 'urban planning', 'urban planning', 'urban expansion trend', 'urban area expansion', 'urban expansion', 'urban development', 'Urban planning', 'future urban extent', 'future urban area', 'urban extent', 'future land management', 'land management', 'land management practice', 'urban land planning', 'future land use', 'predict urban expansion', 'future urban expansion', 'urban expansion', 'coastal area development', 'smart urban planning', 'urban planning', 'urban development', 'urban development', 'urban planning', 'accelerated land use', 'urban planning', 'urban planning', 'land price prediction', 'urban land price', 'residential land price', 'land price distribution', 'Accelerated land use', 'urban development', 'urban development pattern', 'urban planning', 'urban planning', 'urban land expansion', 'land use dynamic', 'land use expansion', 'urban planning', 'urban development', 'urban planning', 'urban expansion', 'urban planning', 'urban planning', 'urban land prediction', 'urbanization prediction', 'urban planning', 'sustainable urban planning', 'sustainable urban development', 'urban planning', 'urban planning', 'urban development', 'urban planning', 'urban development', 'urban expansion', 'urban planning', 'Land planning']",33,"[2, 20, 26, 63, 70, 74, 90, 96, 139, 166, 172, 197, 223, 224, 228, 297, 329, 332, 347, 367, 431, 444, 459, 471, 474, 485, 488, 521, 522, 531, 540, 564, 576]"
3,21,"['image classification', 'Street View image', 'satellite image', 'multilabel classification', 'image classification', 'robust segmentation framework', 'robust feature extraction', 'image classification', 'satellite image', 'image classification', 'image classification method', 'satellite image segmentation', 'satellite image', 'image segmentation', 'image classification task', 'binary feature classification', 'satellite image', 'satellite image', 'OLI image classification', 'feature extraction', 'satellite image']",17,"[37, 41, 63, 64, 113, 171, 211, 245, 327, 361, 367, 378, 385, 444, 506, 539, 540]"
4,43,"['residual network', 'supervised deep learning', 'deep architecture', 'convolutional network', 'deep belief network', 'deep learning architecture', 'Deep learning', 'convolutional neural network', 'convolutional', 'feature learning', 'GEE platform', 'GEE publication', 'Deep learning', 'deep learning', 'convolutional neural network', 'deep learning', 'deep learning', 'generative adversarial network', 'labeled training', 'convolutional neural network', 'conditional adversarial term', 'deep representation', 'deep learning', 'global latent feature', 'convolution neural network', 'deep learning', 'large annotated dataset', 'deep learning', 'deep learning architecture', 'deep learning', 'deep learning', 'deep learning algorithm', 'deep learning', 'convolutional neural network', 'deep learning', 'deep learning model', 'deep learning', 'transfer learning', 'dictionary learning', 'sparse coding', 'convolutional neural network', 'convolutional neural network', 'Deep learning']",26,"[1, 19, 21, 37, 72, 81, 99, 144, 156, 237, 238, 256, 292, 367, 378, 389, 437, 450, 454, 460, 465, 469, 504, 505, 535, 538]"
5,39,"['OSM urban area', 'urban area', 'building type information', 'building type', 'complex urban area', 'urban structure type', 'urban structure', 'urban climate', 'building size prediction', 'building footprint', 'building size', 'influence building height', 'building height', 'urban morphology', 'urban structure', 'different urban structure', 'urban structure type', 'urban area', 'athens agglomeration', 'urban area', 'urban footprint', 'binary urban footprint', 'urban building', 'urban structure', 'urban area', 'building footprint', 'Historical Cityscape', 'building footprint', 'urban morphology complexity', 'roof superstructure classification', 'unreinforced masonry building', 'masonry building', 'unreinforced masonry', 'common building typology', 'small polish city', 'large city', 'Small city', 'city scale', 'urban area']",22,"[12, 20, 26, 30, 99, 156, 172, 177, 182, 197, 202, 223, 242, 256, 327, 389, 428, 430, 460, 474, 488, 564]"
6,81,"['spatial data quality', 'spatial data', 'geographic information', 'Land use', 'GIS modelling', 'land classification dataset', 'Urban Atlas land', 'land cover mapping', 'land use', 'land', 'aerial image dataset', 'outdoor urban data', 'green urban area', 'land cover estimation', 'land cover map', 'big geo data', 'land use mapping', 'land use datasets', 'climate zone mapping', 'land use mapping', 'land cover data', 'urban vegetation mapping', 'vegetation mapping', 'urban vegetation', 'Regional mapping', 'essential urban land', 'urban land', 'land cover mapping', 'sensed urban data', 'unlabeled overhead imagery', 'vegetation specie mapping', 'land cover information', 'land use information', 'urban land', 'GIS approach', 'spatial analysis', 'Spatiotemporal modeling', 'aerial building dataset', 'rural building dataset', 'GIS workflow', 'land use', 'aerial imagery', 'basemaps', 'land cover mapping', 'land cover map', 'accurate land cover', 'digital elevation', 'mixed land use', 'land use', 'land use', 'urban land', 'textural information', 'urban data', 'land use', 'urban greenery land', 'aerial imagery', 'land use map', 'urban land', 'urban land', 'digital urban data', 'land cover map', 'land use data', 'aerial image', 'environmental green area', 'green area planning', 'land use data', 'land use index', 'combinatory land use', 'Land use', 'slum mapping', 'slum upgrading', 'slum settlement', 'land cover map', 'sensed land cover', 'detailed land use', 'urban land', 'topographic mapping', 'land cover mapping', 'land use land', 'urban settlement', 'land surface temperature']",54,"[12, 17, 19, 25, 31, 37, 61, 63, 64, 68, 72, 76, 84, 99, 102, 109, 112, 113, 125, 148, 150, 166, 177, 186, 197, 202, 220, 223, 224, 238, 245, 256, 297, 300, 324, 327, 329, 332, 382, 389, 407, 431, 465, 471, 497, 505, 521, 522, 531, 537, 538, 539, 540, 580]"
7,22,"['region descriptor extraction', 'region descriptor', 'urban area extraction', 'unsupervised urban area', 'area extraction', 'urban area extraction', 'computer vision', 'urban feature extraction', 'shape descriptor', 'object representation', 'object recognition', 'Urban area extraction', 'Accurate urban area', 'urban area information', 'area detection', 'shadow detection', 'vehicle detection', 'Nowadays vehicle detection', 'vehicle tracking', 'object detection method', 'Many object detection', 'Object detection']",11,"[54, 58, 63, 125, 182, 211, 242, 385, 389, 454, 505]"
8,25,"['urban water type', 'water type classification', 'urban water', 'Accurate road extraction', 'road extraction method', 'road extraction', 'vehicle extraction', 'single vehicle extraction', 'vehicle', 'anthropogenic impervious surface', 'impervious surface extraction', 'urban runoff', 'urban hydrologic modelling', 'urban catchment area', 'hydrologic modelling', 'urban catchment', 'classification road extraction', 'road extraction algorithms', 'road extraction method', 'Road extraction', 'perennial drainage', 'hydrologic risk', 'drainage network', 'surface water runoff', 'road infrastructure extraction']",8,"[26, 100, 125, 126, 147, 364, 503, 575]"
