group,count,key-phrases,NumDocs,DocIds
-1,25,"['semantic address matching', 'address matching', 'address match', 'unstructured address data', 'unstructured address record', 'urban valuation estimation', 'urban valuation', 'land value', 'property assessment', 'crowd surveillance', 'crowd analysis', 'crowd analysis benchmark', 'people count', 'advertising construction', 'detected advertising object', 'Outdoor advertising', 'advertising object', 'architectural color icon', 'architectural color', 'color icon creation', 'color icon', 'Urban morphological feature', 'urban morphology contributes', 'urban morphology', 'morphological feature']",6,"[132, 239, 243, 314, 379, 436]"
0,6,"['urban system', 'urban environment', 'urban environment', 'complex urban environment', 'complex urban environment', 'urban environment']",5,"[88, 194, 217, 365, 411]"
1,8,"['street view image', 'street view', 'satellite image', 'street imagery', 'road traffic image', 'traffic monitoring', 'traffic image', 'traffic monitoring device']",4,"[194, 365, 536, 544]"
2,11,"['land use mapping', 'land use information', 'Urban land use', 'Land use map', 'Urban land', 'mapping', 'sustainable urban study', 'land use analysis', 'urban land use', 'urban land', 'land use']",4,"[271, 365, 411, 551]"
3,7,"['deep computer vision', 'deep computer', 'convolutional neural network', 'CNN architecture', 'autoencoders', 'convolutional variational autoencoders', 'deep convolutional network']",3,"[88, 536, 546]"
4,8,"['real estate market', 'market spatial dynamic', 'rental housing market', 'housing market', 'spatial dynamic model', 'urban street network', 'generative urban network', 'Spatial network']",3,"[441, 507, 546]"
5,7,"['street functionality prediction', 'street functionality classification', 'urban street functionality', 'urban road', 'street context classification', 'relabel street', 'urban road traffic']",3,"[507, 536, 544]"
6,13,"['random forest', 'semantic image classification', 'scene classification', 'image classification', 'semantic image', 'image descriptor', 'machine learning model', 'machine learning', 'semantic information', 'visual image interpretation', 'query engine', 'natural language', 'automated classification']",7,"[194, 217, 243, 309, 365, 384, 411]"
7,12,"['urban perception datasets', 'urban perception assessment', 'urban perception derivation', 'urban perception', 'local urban perception', 'understanding city', 'urban analytics', 'urban scene data', 'urban data', 'urban visual environment', 'human perception', 'geographical insight']",7,"[59, 88, 239, 309, 314, 365, 384]"
8,8,"['sidewalk design', 'urban planning', 'urban design', 'urban planning', 'planning domain', 'building structure', 'urban design', 'city planning']",7,"[194, 309, 379, 384, 411, 436, 551]"
