group,count,key-phrases,NumDocs,DocIds
-1,13,"['place sentiment', 'public space', 'City safety perception', 'City safety', 'people safety perception', 'safety perception model', 'Safety perception measurement', 'urban analytics', 'urban analysis', 'public space', 'urban analysis', 'urban research', 'public space']",7,"[11, 93, 375, 410, 427, 542, 557]"
0,6,"['urban space', 'urban space', 'urban space', 'urban space', 'street space', 'urban public space']",6,"[15, 43, 135, 331, 422, 557]"
1,8,"['new urban data', 'Urban data', 'geospatial data', 'conventional urban data', 'urban data', 'urban data source', 'data', 'city census']",5,"[115, 410, 427, 513, 542]"
2,7,"['landscape', 'landscape design', 'landscape architecture system', 'landscape architecture', 'landscape architecture art', 'garden landscape', 'architectural beauty']",3,"[93, 517, 542]"
3,6,"['deep learning model', 'deep learning', 'machine learning', 'deep learning', 'classification', 'Machine learning model']",4,"[11, 93, 366, 542]"
4,8,"['street view', 'streetscape', 'street view', 'street view', 'crowdsourced street view', 'Street view', 'streetscape view', 'streetscape view index']",6,"[11, 16, 43, 62, 410, 423]"
5,6,"['urban planning', 'urban planning', 'urban planning practice', 'urban planning', 'urban planning', 'urban planning']",5,"[43, 115, 331, 470, 557]"
6,14,"['visual quality', 'perceived visual quality', 'subjective perception', 'perception', 'auditory perception map', 'auditory perception', 'auditory data', 'auditory landscape', 'perception map', 'Holistic visual data', 'streetscape perception', 'urban landscape perception', 'urban environment perception', 'environment perception']",7,"[62, 93, 346, 390, 423, 470, 518]"
7,10,"['street view image', 'Street View imagery', 'street view image', 'street imagery data', 'street imagery', 'large street imagery', 'Street view imagery', 'street image evaluation', 'street space image', 'street image']",6,"[11, 16, 62, 331, 410, 422]"
8,12,"['urban visual experience', 'urban design quality', 'urban design', 'street quality', 'urban design', 'urban space quality', 'Digital excavation', 'Street design', 'urban scene quality', 'urban design', 'urban modelling', 'urban design']",10,"[15, 16, 115, 135, 360, 366, 422, 423, 427, 470]"
9,22,"['city appearance', 'street walkability', 'street view pattern', 'street renewal', 'urban identity', 'new urban pattern', 'urban pattern', 'urban vitality feature', 'urban street vitality', 'urban street landscape', 'urban landscape', 'mediatized urban heritage', 'urban heritage', 'urban landscape', 'complex urban feature', 'intricate urban matrix', 'urban feature', 'historical urban landscape', 'urban landscape', 'historical preservation', 'historical site', 'tourism']",10,"[15, 16, 43, 62, 135, 360, 366, 390, 470, 513]"
10,8,"['urbanising city', 'urban environment', 'urban environment', 'urban environment', 'Shanghai city', 'residential urban environment', 'urban environment', 'urban context']",5,"[15, 43, 390, 513, 518]"
