HDBSCAN_Cluster,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y
-1,1,2271.0,2011,Book,Friction: An ethnography of global connection,"A wheel turns because of its encounter with the surface of the road; spinning in the air it goes nowhere. Rubbing two sticks together produces heat and light; one stick alone is just a stick. In both cases, it is friction that produces movement, action, effect. Challenging the widespread view that globalization invariably signifies a ""clash"" of cultures, anthropologist Anna Tsing here develops friction in its place as a metaphor for the diverse and conflicting social interactions that make up our contemporary world. She focuses on one particular ""zone of awkward engagement""--the rainforests of Indonesia--where in the 1980s and the 1990s capitalist interests increasingly reshaped the landscape not so much through corporate design as through awkward chains of legal and illegal entrepreneurs that wrested the land from previous claimants, creating resources for distant markets. In response, environmental movements arose to defend the rainforests and the communities of people who live in them. Not confined to a village, a province, or a nation, the social drama of the Indonesian rainforest includes local and national environmentalists, international science, North American investors, advocates for Brazilian rubber tappers, UN funding agencies, mountaineers, village elders, and urban students, among others--all combining in unpredictable, messy misunderstandings, but misunderstandings that sometimes work out. Providing a portfolio of methods to study global interconnections, Tsing shows how curious and creative cultural differences are in the grip of worldly encounter, and how much is overlooked in contemporary theories of the global. © 2005 by Princeton University Press. All Rights Reserved.",,Tsing A.L.,,17.39,20.08
4,3,474.0,2013,Review,What are the benefits of interacting with nature?,"There is mounting empirical evidence that interacting with nature delivers measurable benefits to people. Reviews of this topic have generally focused on a specific type of benefit, been limited to a single discipline, or covered the benefits delivered from a particular type of interaction. Here we construct novel typologies of the settings, interactions and potential benefits of people-nature experiences, and use these to organise an assessment of the benefits of interacting with nature. We discover that evidence for the benefits of interacting with nature is geographically biased towards high latitudes and Western societies, potentially contributing to a focus on certain types of settings and benefits. Social scientists have been the most active researchers in this field. Contributions from ecologists are few in number, perhaps hindering the identification of key ecological features of the natural environment that deliver human benefits. Although many types of benefits have been studied, benefits to physical health, cognitive performance and psychological well-being have received much more attention than the social or spiritual benefits of interacting with nature, despite the potential for important consequences arising from the latter. The evidence for most benefits is correlational, and although there are several experimental studies, little as yet is known about the mechanisms that are important for delivering these benefits. For example, we do not know which characteristics of natural settings (e.g., biodiversity, level of disturbance, proximity, accessibility) are most important for triggering a beneficial interaction, and how these characteristics vary in importance among cultures, geographic regions and socio-economic groups. These are key directions for future research if we are to design landscapes that promote high quality interactions between people and nature in a rapidly urbanising world. © 2013 by the authors; licensee MDPI, Basel, Switzerland.",Ecosystem services; Health benefits; Urbanisation,"Keniger L.E., Gaston K.J., Irvine K.N., Fuller R.A.",10.3390/ijerph10030913,16.67,22.89
-1,4,306.0,2013,Book,How to study public life,"How do we accommodate a growing urban population in a way that is sustainable, equitable, and inviting? This question is becoming increasingly urgent to answer as we face diminishing fossil-fuel resources and the effects of a changing climate while global cities continue to compete to be the most vibrant centers of culture, knowledge, and finance. Jan Gehl has been examining this question since the 1960s, when few urban designers or planners were thinking about designing cities for people. But given the unpredictable, complex and ephemeral nature of life in cities, how can we best design public infrastructure vital to cities for getting from place to place, or staying in place for human use? Studying city life and understanding the factors that encourage or discourage use is the key to designing inviting public space. © 2013 Jan Gehl and Birgitte Svarre. All rights reserved.",,"Gehl J., Svarre B.",10.5822/978-1-61091-525-0,17.82,21.94
4,5,306.0,2008,Review,People needs in the urban landscape: Analysis of Landscape And Urban Planning contributions,"The articles published in Landscape and Urban Planning during the past 16 years provide valuable insights into how humans interact with outdoor urban environments. This review paper explores the wide spectrum of human dimensions and issues, or human needs, addressed by 90 of these studies. As a basis for analysis, the major themes tapped by the findings were classified into two overarching groups containing three categories each. The Nature needs, directly linked with the physical features of the environmental setting, were categorized in terms of contact with nature, aesthetic preference, and recreation and play. The role of the environment is less immediate in the Human-interaction group, which includes the issues of social interaction, citizen participation in the design process, and community identity. Most significantly, the publications offer strong support for the important role nearby natural environments play in human well-being. Urban settings that provide nature contact are valuable not only in their own right, but also for meeting other needs in a manner unique to these more natural settings. In addition, although addressed in different ways, remarkable similarities exist concerning these six people requirements across diverse cultures and political systems. Urban residents worldwide express a desire for contact with nature and each other, attractive environments, places in which to recreate and play, privacy, a more active role in the design of their community, and a sense of community identity. The studies reviewed here offer continued evidence that the design of urban landscapes strongly influences the well-being and behavior of users and nearby inhabitants. © 2007 Elsevier B.V. All rights reserved.",Citizen participation; Community identity; Nature contact; Preference; Recreation; Social interaction,"Matsuoka R.H., Kaplan R.",10.1016/j.landurbplan.2007.09.009,16.48,22.77
3,6,253.0,2005,Review,Making by making strange: Defamiliarization and the design of domestic technologies,"This article argues that because the home is so familiar, it is necessary to make it strange, or defamiliarize it, in order to open its design space. Critical approaches to technology design are of both practical and social importance in the home. Home appliances are loaded with cultural associations such as the gendered division of domestic labor that are easy to overlook. Further, homes are not the same everywhere - even within a country. Peoples' aspirations and desires differ greatly across and between cultures. The target of western domestic technology design is often not the user, but the consumer. Web refrigerators that create shopping lists, garbage cans that let advertisers know what is thrown away, cabinets that monitor their contents and order more when supplies are low are central to current images of the wireless, digital home of the future. Drawing from our research in the United States, the United Kingdom, and Asia, we provide three different narratives of defamiliarization. A historical reading of American kitchens provides a lens with which to scrutinize new technologies of domesticity, an ethnographic account of an extended social unit in England problematizes taken-for-granted domestic technologies, and a comparative ethnography of the role of information and communication technologies in the daily lives of urban Asia's middle classes reveals the ways in which new technologies can be captured and domesticated in unexpected ways. In the final section of the article, we build on these moments of defamiliarization to suggest a broad set of challenges and strategies for design in the home. © 2005 ACM.",Anthropology; Defamiliarization; Domestic labor; Domestic technology; Ethnicity; Ethnography; Gender; Home entertainment; Human-computer interaction,"Bell G., Blythe M., Sengers P.",10.1145/1067860.1067862,18.86,20.88
-1,7,213.0,2016,Article,Ten questions on the soundscapes of the built environment,"Soundscape research represents a paradigm shift from noise control policies towards a new multidisciplinary approach as it involves not only physical measurements but also the cooperation of humanity and social sciences to account for the diversity of soundscapes across countries and cultures, with more focus on how people actually experience the acoustic environments; and it considers environmental sounds as a 'resource' rather than a 'waste'. The ten questions presented in this paper range from the very basic definitions underlying the emerging soundscape science, to more applied topics about how to use soundscape as a design approach for the planning and management of the built environments. Although significant research activity has been conducted so far, there is still a need to systematically provide the underpinning science and practical guidance in soundscaping. Thus, the last question aims to identify the most crucial gaps in soundscape research and set the agenda for future advancements in the field. © 2016 Elsevier Ltd",Acoustic environment; Environmental noise; Quality of life; Soundscape; Urban sound planning,"Kang J., Aletta F., Gjestland T.T., Brown L.A., Botteldooren D., Schulte-Fortkamp B., Lercher P., van Kamp I., Genuit K., Fiebig A., Bento Coelho J.L., Maffei L., Lavia L.",10.1016/j.buildenv.2016.08.011,17.83,23.19
1,8,190.0,2005,Article,The transnational capitalist class and contemporary architecture in globalizing cities,"The focus of this article is on the role of the transnational capitalist class (TCC) in and around architecture in the production and marketing of iconic buildings and spaces, in global or world cities. The TCC is conceptualized in terms of four fractions: (1) Those who own and/or and control the major transnational corporations and their local affiliates (corporate fraction). In architecture these are the major architectural, architecture-engineering and architecture-developer-real estate firms. In comparison with the major global consumer goods, energy and financial corporations the revenues of the biggest firms in the architecture industry are quite small. However, their importance for the built environment and their cultural importance, especially in cities, far outweighs their relative lack of financial and corporate muscle. (2) Globalizing politicians and bureaucrats (state fraction). These are the politicians and bureaucrats at all levels of administrative power and responsibility who actually decide what gets built where, and how changes to the built environment are regulated. (3) Globalizing professionals (technical fraction). The members of this fraction range from the leading technicians centrally involved in the structural features of new building to those responsible for the education of students and the public in architecture. (4) Merchants and media (consumerist fraction). These are the people who are responsible for the marketing of architecture in all its manifestations. (There is obviously some overlap between the membership of these fractions.). My conclusion is that many global and aspiring global cities have looked to iconic architecture as a prime strategy of urban intervention, often in the context of rehabilitation of depressed areas. The attempt to identify the agents most responsible for this transformation, namely the TCC, and to explain how they operate, suggests that deliberately iconic architecture is becoming a global phenomenon, specifically a central urban manifestation of the culture-ideology of consumerism. © Joint Editors and Blackwell Publishing Ltd 2005.",,Sklair L.,10.1111/j.1468-2427.2005.00601.x,16.77,20.48
3,9,186.0,2005,Article,Beyond binary choices: Integrating individual and social creativity,"The power of the unaided individual mind is highly overrated. Although society often thinks of creative individuals as working in isolation, intelligence and creativity result in large part from interaction and collaboration with other individuals. Much human creativity is social, arising from activities that take place in a context in which interaction with other people and the artifacts that embody collective knowledge are essential contributors. This paper examines: (1) how individual and social creativity can be integrated by means of proper collaboration models and tools supporting distributed cognition; (2) how the creation of shareable externalizations (""boundary objects"") and the adoption of evolutionary process models in the construction of meta-design environments can enhance creativity and support spontaneous design activities (""unselfconscious cultures of design""); and (3) how a new design competence is emerging - one that requires passage from individual creative actions to synergetic activities, from the reflective practitioner to reflective communities and from given tasks to personally meaningful activities. The paper offers examples in the context of collaborative design and art practice, including urban planning, interactive art and open source. In the effort to draw a viable path ""beyond binary choices"", the paper points out some major challenges for the next generation of socio-technical environments to further increase the integration of individual and social creativity. © 2005 Elsevier Ltd. All rights reserved.","Boundary objects; Collaboration models; Collaborative design; Distributed cognition; Envisionment and Discovery Collaboratory (EDC); Individual creativity; Meta-design; Seeding, Evolutionary growth, Reseeding (SER) process model; Social creativity","Fischer G., Giaccardi E., Eden H., Sugimoto M., Ye Y.",10.1016/j.ijhcs.2005.04.014,18.44,21.13
0,10,128.0,2009,Article,Barriers to participation of Aboriginal people in cancer care: Communication in the hospital setting,"Objective: To report Aboriginal patients' views about effective communication between Aboriginal people and health service providers in Western Australian hospital settings. Design, setting and participants: Qualitative study involving indepth interviews between 1 March 2006 and 30 September 2007 with 30 Aboriginal people affected by cancer from across WA. Main outcome measures: Aboriginal patients' views about the quality of communication within the hospitals, factors impairing communication and suggestions for improvement. Results: Factors crucial to effective patient - provider communication such as language, shared understanding, knowledge and use of medical terminology require attention. Additionally, communication between Aboriginal people and health care professionals needs to be understood within a broader sociocultural and political context. Fear of the medical system and of being disempowered; mistrust; collective memories of the experience of colonisation and its aftermath; lack of understanding of Aboriginal customs, values, lifestyle and the importance of family and land; and experiences of racism were key issues impairing communication. Health service providers' inability to interpret non-verbal communication and the symbolism of hospital environments also posed problems. Conclusion: Key areas for the attention of health service providers in communicating and caring for Aboriginal people in the hospital setting include culturally sensitive and empathetic personal contact, acknowledgement and respect for Aboriginal family structures, culture and life circumstances, an understanding of the significant role of non-verbal communication, and the importance of history, land and community. Employing more Aboriginal health workers in hospitals, and allowing Aboriginal people to participate at a decision-making level in hospitals is likely to improve Aboriginal people's access to cancer treatment, and would be important symbols of progress in this area.",,"Shahid S., Finn L.D., Thompson S.C.",10.5694/j.1326-5377.2009.tb02569.x,18.76,17.99
0,11,117.0,2016,Article,Enhancing health care equity with Indigenous populations: evidence-based strategies from an ethnographic study,"Background: Structural violence shapes the health of Indigenous peoples globally, and is deeply embedded in history, individual and institutional racism, and inequitable social policies and practices. Many Indigenous communities have flourished, however, the impact of colonialism continues to have profound health effects for Indigenous peoples in Canada and internationally. Despite increasing evidence of health status inequities affecting Indigenous populations, health services often fail to address health and social inequities as routine aspects of health care delivery. In this paper, we discuss an evidence-based framework and specific strategies for promoting health care equity for Indigenous populations. Methods: Using an ethnographic design and mixed methods, this study was conducted at two Urban Aboriginal Health Centres located in two inner cities in Canada, which serve a combined patient population of 5,500. Data collection included in-depth interviews with a total of 114 patients and staff (n = 73 patients; n = 41 staff), and over 900 h of participant observation focused on staff members' interactions and patterns of relating with patients. Results: Four key dimensions of equity-oriented health services are foundational to supporting the health and well-being of Indigenous peoples: inequity-responsive care, culturally safe care, trauma- and violence-informed care, and contextually tailored care. Partnerships with Indigenous leaders, agencies, and communities are required to operationalize and tailor these key dimensions to local contexts. We discuss 10 strategies that intersect to optimize effectiveness of health care services for Indigenous peoples, and provide examples of how they can be implemented in a variety of health care settings. Conclusions: While the key dimensions of equity-oriented care and 10 strategies may be most optimally operationalized in the context of interdisciplinary teamwork, they also serve as health equity guidelines for organizations and providers working in various settings, including individual primary care practices. These strategies provide a basis for organizational-level interventions to promote the provision of more equitable, responsive, and respectful PHC services for Indigenous populations. Given the similarities in colonizing processes and Indigenous peoples' experiences of such processes in many countries, these strategies have international applicability. © 2016 The Author(s).",Canada; Cultural safety; Discrimination; Health disparities; Health equity; Health services; Indigenous people; Racism; Structural violence; Trauma informed care; Trauma- and violence-informed care,"Browne A.J., Varcoe C., Lavoie J., Smye V., Wong S.T., Krause M., Tu D., Godwin O., Khan K., Fridkin A.",10.1186/s12913-016-1707-9,18.82,18.08
