doc_id,title,score,cluster,similar_doc_id,similar_title,top1_occ_cluster,top1_count,top2_occ_cluster,top2_count,top3_occ_cluster,top3_count
128,The conceptual basis of water-energy-food nexus governance: systematic literature review using network and discourse analysis,0.46,#8,221,"Urban Water Demand Modeling Using Machine Learning Techniques: Case Study of Fortaleza, Brazil",#8,6,#7,5,#14,4
478,Methods and Guidelines for Incorporating Human Factors Requirements in Automated Vehicles Development,0.54,#20,581,Conference on Human Factors in Computing Systems - Proceedings,#20,6,#-1,5,#13,5
272,Optimization and evaluation of the human fall detection system,0.55,#-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,#-1,11,#17,6,#11,3
34,Artificial intelligence technologies for robot assisted urban search and rescue,0.59,#-1,320,Risk management systems must provide automatic decisions according to crisis computable algebras,#-1,10,#2,9,#5,3
165,Studying spatial and temporal changes of aridity in Iran,0.60,#4,421,"Evaluation of the environmental impacts of urbanization from the viewpoint of increased skin temperatures: a case study from Istanbul, Turkey",#4,9,#16,8,#12,5
276,The automated vacuum waste collection optimization problem,0.60,#20,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities,#-1,6,#21,4,#8,4
368,Intrusion Detection System as Audit in IoT Infrastructure using Ensemble Learning and SMOTE Method,0.60,#-1,545,Internet of things and statistical analysis,#-1,9,#22,5,#21,3
261,Utilizing Big Data for Enhancing Passenger Safety in Railway Stations,0.61,#9,585,"European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2016",#-1,9,#17,7,#9,5
320,Risk management systems must provide automatic decisions according to crisis computable algebras,0.62,#-1,403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,#-1,10,#2,8,#20,4
379,Development of generating system for architectural color icons using google map platform and tensorflow-segmentation,0.63,#-1,517,Construction of landscape architecture art design based on streaming media data processing,#-1,11,#11,9,#5,7
573,"ESANN 2017 - Proceedings, 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",0.63,#7,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface,#-1,5,#7,4,#8,3
58,An adaptive and iterative method of urban area extraction from SAR images,0.64,#5,444,"Machine learning approach to extract building footprint from high-resolution images: The case study of Makkah, Saudi Arabia",#5,11,#-1,10,#16,4
266,Structural health monitoring installation scheme using utility computing model,0.64,#21,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability",#-1,10,#5,4,#8,3
517,Construction of landscape architecture art design based on streaming media data processing,0.64,#5,41,Building block level urban land-use information retrieval based on Google Street View images,#-1,10,#11,8,#5,3
552,Intelligence augmentation for urban warfare operation planning using deep reinforcement learning,0.64,#-1,403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,#-1,8,#2,6,#19,5
132,A deep learning architecture for semantic address matching,0.65,#11,384,Towards a deep learning powered query engine for urban planning,#-1,9,#17,8,#11,3
262,Enhanced urban clustering in VANETs using online machine learning,0.65,#17,158,Trajectory clustering of road traffic in urban environments using incremental machine learning in combination with hyperdimensional computing,#17,10,#19,10,#-1,6
118,Automated urban travel interpretation: A bottom-up approach for trajectory segmentation,0.66,#17,397,Data mining tourism patterns,#17,21,#-1,6,#19,2
232,An urban data framework for assessing equity in cities: Comparing accessibility to healthcare facilities in Cascadia,0.67,#18,107,Structure of 311 service requests as a signature of urban location,#18,4,#-1,4,#10,3
